rto,rtt,cwnd,segs_in,data_segs_out,lastrcv,delivered,loss_ratio
348,147.248,26,0,0,0,0,
352,151.154,27,8,22,120,21,0.0
360,156.566,28,15,43,240,41,0.0
364,161.077,29,22,65,356,61,0.0
364,161.336,29,29,86,472,82,0.0
396,134.309,32,53,155,876,149,0.0
416,167.745,32,61,178,1008,172,0.0
420,181.385,33,68,200,1128,192,0.0
424,186.347,34,75,221,1244,213,0.0
420,193.575,34,81,242,1364,233,0.0
420,197.371,35,87,264,1488,254,0.0
424,203.389,35,92,280,1604,271,0.0
420,203.836,36,99,302,1720,292,0.0
412,195.758,26,108,312,1840,310,0.003205128205128205
412,195.508,17,116,325,1956,331,0.006153846153846154
336,124.551,18,129,346,2072,352,0.005780346820809248
324,112.315,19,138,364,2192,368,0.005494505494505495
320,111.504,20,148,390,2316,393,0.005128205128205128
324,118.073,22,161,425,2508,426,0.004705882352941176
328,122.669,23,169,446,2624,446,0.004484304932735426
336,130.867,23,174,462,2740,462,0.004329004329004329
336,133.435,24,183,484,2852,483,0.004132231404958678
340,138.327,25,193,505,2968,503,0.0039603960396039604
348,144.43,26,200,525,3084,522,0.0038095238095238095
348,146.399,27,207,546,3200,542,0.003663003663003663
352,149.242,27,214,564,3316,561,0.0035460992907801418
360,155.787,28,220,585,3428,581,0.003418803418803419
364,162.623,29,226,607,3548,601,0.0032948929159802307
364,161.465,29,231,623,3660,618,0.0032102728731942215
368,166.325,30,238,646,3776,640,0.0030959752321981426
372,168.116,31,244,666,3904,659,0.003003003003003003
376,175.267,31,250,687,4028,679,0.002911208151382824
380,179.165,32,257,709,4144,700,0.0028208744710860366
384,180.99,33,264,730,4272,720,0.0027397260273972603
388,186.89,33,271,750,4384,741,0.0026666666666666666
392,191.782,34,278,771,4500,761,0.0025940337224383916
396,192.69,34,284,789,4616,779,0.0025348542458808617
400,198.922,35,290,812,4732,800,0.0024630541871921183
404,201.003,36,297,834,4856,822,0.002398081534772182
408,205.247,36,302,851,4972,839,0.0023501762632197414
408,207.619,34,308,870,5088,858,0.0034482758620689655
408,204.458,23,315,880,5204,878,0.004545454545454545
392,188.291,18,325,895,5320,898,0.004469273743016759
332,130.074,19,337,916,5436,918,0.004366812227074236
324,120.523,20,343,936,5556,937,0.004273504273504274
320,118.131,21,349,957,5676,957,0.0041797283176593526
320,119.197,22,355,979,5788,978,0.0040858018386108275
324,120.935,23,361,1000,5904,998,0.004
328,127.629,23,366,1016,6020,1015,0.003937007874015748
336,133.406,24,372,1037,6136,1035,0.003857280617164899
340,138.869,25,378,1057,6252,1054,0.003784295175023652
344,141.811,26,383,1077,6368,1072,0.003714020427112349
348,146.274,26,389,1096,6480,1092,0.0036496350364963502
352,151.777,27,394,1116,6596,1111,0.0035842293906810036
356,152.478,28,402,1139,6716,1133,0.003511852502194908
360,159.915,29,408,1159,6832,1152,0.003451251078515962
368,165.412,29,414,1180,6948,1172,0.003389830508474576
368,165.918,30,422,1200,7068,1191,0.0033333333333333335
376,172.155,31,429,1221,7184,1211,0.003276003276003276
380,177.528,31,437,1243,7324,1234,0.003218020917135961
380,179.058,32,444,1266,7456,1256,0.00315955766192733
384,183.287,33,450,1286,7568,1274,0.003110419906687403
388,186.38,33,458,1309,7684,1297,0.0030557677616501145
392,190.169,34,463,1325,7800,1313,0.0030188679245283017
396,193.411,34,470,1347,7916,1334,0.002969561989606533
400,198.998,35,475,1366,8032,1352,0.0029282576866764276
404,201.315,35,481,1386,8144,1372,0.002886002886002886
408,204.381,34,488,1405,8260,1391,0.0035587188612099642
408,207.699,23,494,1415,8376,1411,0.004240282685512367
392,191.072,18,504,1428,8492,1429,0.004201680672268907
328,127.437,19,518,1452,8616,1452,0.004132231404958678
320,117.842,20,524,1472,8728,1471,0.004076086956521739
320,118.457,21,530,1493,8844,1491,0.004018754186202277
320,116.443,22,537,1513,8964,1510,0.0039656311962987445
324,121.945,22,543,1532,9080,1530,0.0039164490861618795
332,130.819,23,548,1550,9192,1546,0.003870967741935484
336,135.889,24,554,1572,9308,1567,0.003816793893129771
344,140.249,25,560,1593,9424,1587,0.003766478342749529
344,143.129,26,566,1613,9540,1606,0.0037197768133911966
344,143.397,26,573,1632,9656,1626,0.003676470588235294
348,147.6,27,580,1652,9768,1645,0.0036319612590799033
356,153.001,28,586,1673,9888,1665,0.0035863717872086074
356,155.891,28,591,1691,10000,1683,0.0035481963335304554
