wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;
6,6;384;182.205;1448;1500;536;1448;33;24;0;0;0;0;0;0;0;0;14480;64088;
6,6;388;187.547;1448;1500;536;1448;33;24;31856;0;31856;22;7;22;124;22;14480;64088;
6,6;396;193.967;1448;1500;536;1448;34;24;62264;0;62264;43;13;43;248;43;14480;64088;
6,6;396;193.417;1448;1500;536;1448;34;24;91224;0;91224;63;20;63;368;63;14480;64088;
6,6;400;197.738;1448;1500;536;1448;35;24;124528;0;121632;86;27;86;496;84;14480;64088;
6,6;400;196.327;1448;1500;536;1448;35;24;153488;0;150592;106;35;106;616;104;14480;64088;
6,6;404;201.939;1448;1500;536;1448;35;24;186792;0;183896;129;45;129;752;127;14480;64088;
6,6;412;209.485;1448;1500;536;1448;35;24;215752;0;212856;149;52;149;872;147;14480;64088;
6,6;408;206.255;1448;1500;536;1448;32;24;244712;1448;233128;169;60;169;996;169;14480;64088;
6,6;404;201.038;1448;1500;536;1448;24;24;262088;1448;233128;181;68;181;1116;189;14480;64088;
6,6;396;194.682;1448;1500;536;1448;24;24;289600;1448;302632;200;76;200;1240;209;14480;64088;
6,6;368;164.085;1448;1500;536;1448;25;24;318560;1448;330144;220;83;220;1360;228;14480;64088;
6,6;356;152.088;1448;1500;536;1448;27;24;350416;1448;359104;242;90;242;1476;248;14480;64088;
6,6;356;152.58;1448;1500;536;1448;28;24;383720;1448;390960;265;97;265;1596;270;14480;64088;
6,6;360;157.493;1448;1500;536;1448;28;24;412680;1448;419920;285;103;285;1716;290;14480;64088;
6,6;360;158.904;1448;1500;536;1448;29;24;445984;1448;450328;308;109;308;1836;311;14480;64088;
6,6;364;160.224;1448;1500;536;1448;30;24;474944;1448;479288;328;117;328;1952;331;14480;64088;
6,6;372;170.888;1448;1500;536;1448;31;24;506800;1448;509696;350;123;350;2072;352;14480;64088;
6,6;376;174.461;1448;1500;536;1448;32;24;534312;1448;535760;369;129;369;2192;370;14480;64088;
6,6;384;180.328;1448;1500;536;1448;32;24;566168;1448;566168;391;136;391;2312;391;14480;64088;
6,6;388;187.698;1448;1500;536;1448;33;24;616848;1448;615400;426;148;426;2512;425;14480;64088;
6,6;396;193.287;1448;1500;536;1448;34;24;653048;1448;651600;451;156;451;2660;450;14480;64088;
6,6;396;193.469;1448;1500;536;1448;34;24;687800;1448;686352;475;166;475;2796;474;14480;64088;
6,6;396;194.974;1448;1500;536;1448;35;24;724000;1448;719656;500;175;500;2940;497;14480;64088;
6,6;400;199.037;1448;1500;536;1448;35;24;758752;1448;754408;524;183;524;3084;521;14480;64088;
6,6;404;202.259;1448;1500;536;1448;27;24;783368;2896;754408;541;192;541;3220;545;14480;64088;
6,6;396;195.318;1448;1500;536;1448;24;24;815224;2896;826808;563;202;563;3376;571;14480;64088;
6,6;360;159.446;1448;1500;536;1448;26;24;852872;2896;860112;589;211;589;3516;594;14480;64088;
6,6;352;150.732;1448;1500;536;1448;27;24;884728;2896;891968;611;218;611;3656;616;14480;64088;
6,6;356;155.551;1448;1500;536;1448;28;24;920928;2896;926720;636;225;636;3792;640;14480;64088;
6,6;360;158.607;1448;1500;536;1448;29;24;955680;2896;960024;660;232;660;3932;663;14480;64088;
6,6;360;159.374;1448;1500;536;1448;30;24;991880;2896;994776;685;240;685;4072;687;14480;64088;
6,6;368;167.42;1448;1500;536;1448;31;24;1026632;2896;1028080;709;247;709;4204;710;14480;64088;
6,6;372;170.783;1448;1500;536;1448;32;24;1065728;2896;1065728;736;256;736;4360;736;14480;64088;
6,6;380;177.537;1448;1500;536;1448;32;24;1100480;2896;1099032;760;264;760;4500;759;14480;64088;
6,6;388;184.848;1448;1500;536;1448;33;24;1133784;2896;1130888;783;272;783;4640;781;14480;64088;
6,6;396;192.33;1448;1500;536;1448;34;24;1169984;2896;1167088;808;279;808;4776;806;14480;64088;
6,6;396;194.56;1448;1500;536;1448;34;24;1207632;2896;1204736;834;289;834;4924;832;14480;64088;
6,6;400;198.894;1448;1500;536;1448;35;24;1252520;2896;1246728;865;297;865;5100;861;14480;64088;
6,6;400;198.216;1448;1500;536;1448;33;24;1285824;4344;1275688;888;307;888;5240;885;14480;64088;
6,6;400;199.621;1448;1500;536;1448;24;24;1310440;4344;1275688;905;317;905;5396;911;14480;64088;
6,6;392;188.413;1448;1500;536;1448;25;24;1346640;4344;1353880;930;326;930;5536;935;14480;64088;
6,6;364;162.931;1448;1500;536;1448;26;24;1378496;4344;1384288;952;332;952;5668;956;14480;64088;
6,6;352;151.44;1448;1500;536;1448;27;24;1413248;4344;1419040;976;341;976;5808;980;14480;64088;
6,6;360;156.329;1448;1500;536;1448;29;24;1466824;4344;1468272;1013;355;1013;6020;1014;14480;64088;
6,6;364;161.384;1448;1500;536;1448;30;24;1503024;4344;1504472;1038;363;1038;6156;1039;14480;64088;
6,6;368;164.546;1448;1500;536;1448;30;24;1534880;4344;1536328;1060;370;1060;6288;1061;14480;64088;
6,6;376;173.435;1448;1500;536;1448;31;24;1576872;4344;1575424;1089;380;1089;6444;1088;14480;64088;
6,6;384;180.232;1448;1500;536;1448;32;24;1611624;4344;1608728;1113;387;1113;6588;1111;14480;64088;
6,6;392;189.842;1448;1500;536;1448;33;24;1659408;4344;1655064;1146;399;1146;6768;1143;14480;64088;
6,6;388;185.184;1448;1500;536;1448;34;24;1698504;4344;1694160;1173;409;1173;6928;1170;14480;64088;
6,6;392;191.95;1448;1500;536;1448;34;24;1733256;4344;1728912;1197;417;1197;7064;1194;14480;64088;
6,6;396;193.727;1448;1500;536;1448;35;24;1763664;4344;1756424;1218;425;1218;7196;1213;14480;64088;
6,6;400;198.657;1448;1500;536;1448;33;24;1808552;5792;1796968;1249;436;1249;7380;1245;14480;64088;
6,6;408;204.703;1448;1500;536;1448;24;24;1830272;5792;1796968;1264;444;1264;7532;1269;14480;64088;
6,6;396;192.4;1448;1500;536;1448;24;24;1865024;5792;1872264;1288;453;1288;7664;1293;14480;64088;
6,6;360;157.413;1448;1500;536;1448;26;24;1901224;5792;1907016;1313;462;1313;7800;1317;14480;64088;
6,6;356;154.842;1448;1500;536;1448;27;24;1935976;5792;1940320;1337;469;1337;7932;1340;14480;64088;
6,6;360;158.501;1448;1500;536;1448;28;24;1966384;5792;1969280;1358;475;1358;8064;1360;14480;64088;
6,6;360;159.384;1448;1500;536;1448;29;24;2001136;5792;2002584;1382;482;1382;8196;1383;14480;64088;
6,6;364;161.029;1448;1500;536;1448;30;24;2037336;5792;2037336;1407;491;1407;8336;1407;14480;64088;
6,6;368;167.774;1448;1500;536;1448;31;24;2072088;5792;2070640;1431;498;1431;8468;1430;14480;64088;
6,6;376;172.125;1448;1500;536;1448;31;24;2102496;5792;2099600;1452;504;1452;8600;1450;14480;64088;
6,6;380;176.879;1448;1500;536;1448;32;24;2134352;5792;2130008;1474;512;1474;8728;1471;14480;64088;
6,6;388;184.006;1448;1500;536;1448;33;24;2170552;5792;2164760;1499;519;1499;8856;1495;14480;64088;
6,6;388;185.025;1448;1500;536;1448;33;24;2202408;5792;2198064;1521;527;1521;8992;1518;14480;64088;
6,6;396;192.926;1448;1500;536;1448;34;24;2237160;5792;2229920;1545;534;1545;9124;1540;14480;64088;
6,6;400;196.638;1448;1500;536;1448;35;24;2266120;5792;2258880;1565;540;1565;9248;1560;14480;64088;
