rto,rtt,cwnd,bytes_sent,bytes_retrans,bytes_acked,segs_out,segs_in,data_segs_out,lastrcv,delivered,loss_ratio
348,147.248,26,0,0,0,0,0,0,0,0,
352,151.154,27,31856,0,30408,22,8,22,120,21,0.0
360,156.566,28,62264,0,59368,43,15,43,240,41,0.0
364,161.077,29,94120,0,88328,65,22,65,356,61,0.0
364,161.336,29,124528,0,118736,86,29,86,472,82,0.0
396,134.309,32,224440,0,215752,155,53,155,876,149,0.0
416,167.745,32,257744,0,249056,178,61,178,1008,172,0.0
420,181.385,33,289600,0,278016,200,68,200,1128,192,0.0
424,186.347,34,320008,0,308424,221,75,221,1244,213,0.0
420,193.575,34,350416,0,337384,242,81,242,1364,233,0.0
420,197.371,35,382272,0,367792,264,87,264,1488,254,0.0
424,203.389,35,405440,0,392408,280,92,280,1604,271,0.0
420,203.836,36,437296,0,419920,302,99,302,1720,292,0.0
412,195.758,26,451776,1448,419920,312,108,312,1840,310,0.3205128205128205
412,195.508,17,470600,2896,419920,325,116,325,1956,331,0.6153846153846154
336,124.551,18,501008,2896,509696,346,129,346,2072,352,0.5780346820809248
324,112.315,19,527072,2896,532864,364,138,364,2192,368,0.5494505494505495
320,111.504,20,564720,2896,569064,390,148,390,2316,393,0.5128205128205128
324,118.073,22,615400,2896,616848,425,161,425,2508,426,0.4705882352941176
328,122.669,23,645808,2896,645808,446,169,446,2624,446,0.4484304932735426
336,130.867,23,668976,2896,668976,462,174,462,2740,462,0.4329004329004329
336,133.435,24,700832,2896,699384,484,183,484,2852,483,0.4132231404958678
340,138.327,25,731240,2896,728344,505,193,505,2968,503,0.39603960396039606
348,144.43,26,760200,2896,755856,525,200,525,3084,522,0.38095238095238093
348,146.399,27,790608,2896,784816,546,207,546,3200,542,0.3663003663003663
352,149.242,27,816672,2896,812328,564,214,564,3316,561,0.3546099290780142
360,155.787,28,847080,2896,841288,585,220,585,3428,581,0.3418803418803419
364,162.623,29,878936,2896,870248,607,226,607,3548,601,0.3294892915980231
364,161.465,29,902104,2896,894864,623,231,623,3660,618,0.32102728731942215
368,166.325,30,935408,2896,926720,646,238,646,3776,640,0.30959752321981426
372,168.116,31,964368,2896,954232,666,244,666,3904,659,0.3003003003003003
376,175.267,31,994776,2896,983192,687,250,687,4028,679,0.2911208151382824
380,179.165,32,1026632,2896,1013600,709,257,709,4144,700,0.2820874471086037
384,180.99,33,1057040,2896,1042560,730,264,730,4272,720,0.273972602739726
388,186.89,33,1086000,2896,1072968,750,271,750,4384,741,0.26666666666666666
392,191.782,34,1116408,2896,1101928,771,278,771,4500,761,0.25940337224383914
396,192.69,34,1142472,2896,1127992,789,284,789,4616,779,0.25348542458808615
400,198.922,35,1175776,2896,1158400,812,290,812,4732,800,0.24630541871921183
404,201.003,36,1207632,2896,1190256,834,297,834,4856,822,0.2398081534772182
408,205.247,36,1232248,2896,1214872,851,302,851,4972,839,0.23501762632197415
408,207.619,34,1259760,4344,1239488,870,308,870,5088,858,0.3448275862068966
408,204.458,23,1274240,5792,1239488,880,315,880,5204,878,0.45454545454545453
392,188.291,18,1295960,5792,1300304,895,325,895,5320,898,0.44692737430167595
332,130.074,19,1326368,5792,1329264,916,337,916,5436,918,0.43668122270742354
324,120.523,20,1355328,5792,1356776,936,343,936,5556,937,0.4273504273504274
320,118.131,21,1385736,5792,1385736,957,349,957,5676,957,0.41797283176593525
320,119.197,22,1417592,5792,1416144,979,355,979,5788,978,0.40858018386108275
324,120.935,23,1448000,5792,1445104,1000,361,1000,5904,998,0.4
328,127.629,23,1471168,5792,1469720,1016,366,1016,6020,1015,0.39370078740157477
336,133.406,24,1501576,5792,1498680,1037,372,1037,6136,1035,0.3857280617164899
340,138.869,25,1530536,5792,1526192,1057,378,1057,6252,1054,0.3784295175023652
344,141.811,26,1559496,5792,1552256,1077,383,1077,6368,1072,0.3714020427112349
348,146.274,26,1587008,5792,1581216,1096,389,1096,6480,1092,0.36496350364963503
352,151.777,27,1615968,5792,1608728,1116,394,1116,6596,1111,0.35842293906810035
356,152.478,28,1649272,5792,1640584,1139,402,1139,6716,1133,0.35118525021949076
360,159.915,29,1678232,5792,1668096,1159,408,1159,6832,1152,0.3451251078515962
368,165.412,29,1708640,5792,1697056,1180,414,1180,6948,1172,0.3389830508474576
368,165.918,30,1737600,5792,1724568,1200,422,1200,7068,1191,0.33333333333333337
376,172.155,31,1768008,5792,1753528,1221,429,1221,7184,1211,0.32760032760032765
380,177.528,31,1799864,5792,1786832,1243,437,1243,7324,1234,0.32180209171359614
380,179.058,32,1833168,5792,1818688,1266,444,1266,7456,1256,0.315955766192733
384,183.287,33,1862128,5792,1844752,1286,450,1286,7568,1274,0.3110419906687403
388,186.38,33,1895432,5792,1878056,1309,458,1309,7684,1297,0.30557677616501144
392,190.169,34,1918600,5792,1901224,1325,463,1325,7800,1313,0.3018867924528302
396,193.411,34,1950456,5792,1931632,1347,470,1347,7916,1334,0.2969561989606533
400,198.998,35,1977968,5792,1957696,1366,475,1366,8032,1352,0.29282576866764276
404,201.315,35,2006928,5792,1986656,1386,481,1386,8144,1372,0.2886002886002886
408,204.381,34,2034440,7240,2006928,1405,488,1405,8260,1391,0.3558718861209964
408,207.699,23,2048920,8688,2006928,1415,494,1415,8376,1411,0.4240282685512367
392,191.072,18,2067744,8688,2041680,1428,504,1428,8492,1429,0.42016806722689076
328,127.437,19,2102496,8688,2102496,1452,518,1452,8616,1452,0.4132231404958678
320,117.842,20,2131456,8688,2130008,1472,524,1472,8728,1471,0.4076086956521739
320,118.457,21,2161864,8688,2158968,1493,530,1493,8844,1491,0.4018754186202277
320,116.443,22,2190824,8688,2186480,1513,537,1513,8964,1510,0.39656311962987445
324,121.945,22,2218336,8688,2215440,1532,543,1532,9080,1530,0.39164490861618795
332,130.819,23,2244400,8688,2238608,1550,548,1550,9192,1546,0.3870967741935484
336,135.889,24,2276256,8688,2269016,1572,554,1572,9308,1567,0.38167938931297707
344,140.249,25,2306664,8688,2297976,1593,560,1593,9424,1587,0.3766478342749529
344,143.129,26,2335624,8688,2325488,1613,566,1613,9540,1606,0.3719776813391197
344,143.397,26,2363136,8688,2354448,1632,573,1632,9656,1626,0.3676470588235294
348,147.6,27,2392096,8688,2381960,1652,580,1652,9768,1645,0.36319612590799033
356,153.001,28,2422504,8688,2410920,1673,586,1673,9888,1665,0.35863717872086076
356,155.891,28,2448568,8688,2436984,1691,591,1691,10000,1683,0.35481963335304556
360,158.541,29,2481872,8688,2467392,1714,597,1714,10116,1704,0.3500583430571762
368,164.655,30,2510832,8688,2496352,1734,603,1734,10232,1724,0.34602076124567477
376,173.161,31,2541240,8688,2523864,1755,608,1755,10348,1743,0.3418803418803419
376,173.056,31,2570200,8688,2552824,1775,614,1775,10472,1763,0.3380281690140845
380,178.031,32,2602056,8688,2583232,1797,621,1797,10588,1784,0.333889816360601
384,183.937,32,2623776,8688,2606400,1812,626,1812,10700,1800,0.33112582781456956
392,190.094,33,2655632,8688,2636808,1834,633,1834,10820,1821,0.3271537622682661
392,191.75,34,2688936,8688,2668664,1857,640,1857,10932,1843,0.32310177705977383
396,193.825,34,2715000,8688,2694728,1875,646,1875,11052,1861,0.32
396,195.812,35,2748304,8688,2725136,1898,652,1898,11164,1882,0.31612223393045313
400,196.41,35,2774368,8688,2751200,1916,658,1916,11280,1900,0.31315240083507306
404,200.698,31,2796088,10136,2762784,1931,666,1931,11396,1918,0.3625064733298809
404,203.736,21,2810568,10136,2762784,1941,672,1941,11516,1938,0.36063884595569295
392,188.281,17,2835184,11584,2762784,1958,678,1958,11632,1958,0.40858018386108275
320,118.262,19,2867040,11584,2865592,1980,690,1980,11748,1979,0.40404040404040403
308,107.318,20,2898896,11584,2894552,2002,699,2002,11864,1999,0.3996003996003996
312,110.502,21,2924960,11584,2920616,2020,706,2020,11980,2017,0.39603960396039606
316,115.758,22,2955368,11584,2949576,2041,712,2041,12092,2037,0.39196472317491426
324,121.222,22,2984328,11584,2977088,2061,718,2061,12208,2056,0.38816108685104317
328,126.804,23,3014736,11584,3006048,2082,724,2082,12324,2076,0.38424591738712777
336,132.883,24,3040800,11584,3030664,2100,730,2100,12440,2093,0.38095238095238093
340,137.471,25,3074104,11584,3062520,2123,737,2123,12556,2115,0.3768252472915685
340,139.903,26,3105960,11584,3092928,2145,744,2145,12672,2136,0.372960372960373
348,144.652,26,3130576,11584,3118992,2162,752,2162,12788,2154,0.37002775208140615
356,152.557,27,3162432,11584,3147952,2184,758,2184,12904,2174,0.3663003663003663
360,157.87,28,3188496,11584,3172568,2202,763,2202,13020,2191,0.36330608537693004
360,159.553,29,3221800,11584,3204424,2225,769,2225,13136,2213,0.3595505617977528
360,159.992,29,3247864,11584,3231936,2243,777,2243,13252,2232,0.3566651805617477
368,164.446,30,3275376,11584,3258000,2262,783,2262,13368,2250,0.3536693191865605
372,171.588,31,3307232,11584,3288408,2284,789,2284,13484,2271,0.3502626970227671
380,176.148,31,3337640,11584,3317368,2305,795,2305,13600,2291,0.3470715835140998
380,176.881,32,3366600,11584,3346328,2325,803,2325,13716,2311,0.34408602150537637
