wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;
6.6;348;147.248;1448;1500;536;1448;26;18;0;0;0;0;0;0;0;0;14480;64088;
6.6;352;151.154;1448;1500;536;1448;27;18;31856;0;30408;22;8;22;120;21;14480;64088;
6.6;360;156.566;1448;1500;536;1448;28;18;62264;0;59368;43;15;43;240;41;14480;64088;
6.6;364;161.077;1448;1500;536;1448;29;18;94120;0;88328;65;22;65;356;61;14480;64088;
6.6;364;161.336;1448;1500;536;1448;29;18;124528;0;118736;86;29;86;472;82;14480;64088;
6.6;396;134.309;1448;1500;536;1448;32;18;224440;0;215752;155;53;155;876;149;14480;64088;
6.6;416;167.745;1448;1500;536;1448;32;18;257744;0;249056;178;61;178;1008;172;14480;64088;
6.6;420;181.385;1448;1500;536;1448;33;18;289600;0;278016;200;68;200;1128;192;14480;64088;
6.6;424;186.347;1448;1500;536;1448;34;18;320008;0;308424;221;75;221;1244;213;14480;64088;
6.6;420;193.575;1448;1500;536;1448;34;18;350416;0;337384;242;81;242;1364;233;14480;64088;
6.6;420;197.371;1448;1500;536;1448;35;18;382272;0;367792;264;87;264;1488;254;14480;64088;
6.6;424;203.389;1448;1500;536;1448;35;18;405440;0;392408;280;92;280;1604;271;14480;64088;
6.6;420;203.836;1448;1500;536;1448;36;18;437296;0;419920;302;99;302;1720;292;14480;64088;
6.6;412;195.758;1448;1500;536;1448;26;18;451776;1448;419920;312;108;312;1840;310;14480;64088;
6.6;412;195.508;1448;1500;536;1448;17;18;470600;2896;419920;325;116;325;1956;331;14480;64088;
6.6;336;124.551;1448;1500;536;1448;18;18;501008;2896;509696;346;129;346;2072;352;14480;64088;
6.6;324;112.315;1448;1500;536;1448;19;18;527072;2896;532864;364;138;364;2192;368;14480;64088;
6.6;320;111.504;1448;1500;536;1448;20;18;564720;2896;569064;390;148;390;2316;393;14480;64088;
6.6;324;118.073;1448;1500;536;1448;22;18;615400;2896;616848;425;161;425;2508;426;14480;64088;
6.6;328;122.669;1448;1500;536;1448;23;18;645808;2896;645808;446;169;446;2624;446;14480;64088;
6.6;336;130.867;1448;1500;536;1448;23;18;668976;2896;668976;462;174;462;2740;462;14480;64088;
6.6;336;133.435;1448;1500;536;1448;24;18;700832;2896;699384;484;183;484;2852;483;14480;64088;
6.6;340;138.327;1448;1500;536;1448;25;18;731240;2896;728344;505;193;505;2968;503;14480;64088;
6.6;348;144.43;1448;1500;536;1448;26;18;760200;2896;755856;525;200;525;3084;522;14480;64088;
6.6;348;146.399;1448;1500;536;1448;27;18;790608;2896;784816;546;207;546;3200;542;14480;64088;
6.6;352;149.242;1448;1500;536;1448;27;18;816672;2896;812328;564;214;564;3316;561;14480;64088;
6.6;360;155.787;1448;1500;536;1448;28;18;847080;2896;841288;585;220;585;3428;581;14480;64088;
6.6;364;162.623;1448;1500;536;1448;29;18;878936;2896;870248;607;226;607;3548;601;14480;64088;
6.6;364;161.465;1448;1500;536;1448;29;18;902104;2896;894864;623;231;623;3660;618;14480;64088;
6.6;368;166.325;1448;1500;536;1448;30;18;935408;2896;926720;646;238;646;3776;640;14480;64088;
6.6;372;168.116;1448;1500;536;1448;31;18;964368;2896;954232;666;244;666;3904;659;14480;64088;
6.6;376;175.267;1448;1500;536;1448;31;18;994776;2896;983192;687;250;687;4028;679;14480;64088;
6.6;380;179.165;1448;1500;536;1448;32;18;1026632;2896;1013600;709;257;709;4144;700;14480;64088;
6.6;384;180.99;1448;1500;536;1448;33;18;1057040;2896;1042560;730;264;730;4272;720;14480;64088;
6.6;388;186.89;1448;1500;536;1448;33;18;1086000;2896;1072968;750;271;750;4384;741;14480;64088;
6.6;392;191.782;1448;1500;536;1448;34;18;1116408;2896;1101928;771;278;771;4500;761;14480;64088;
6.6;396;192.69;1448;1500;536;1448;34;18;1142472;2896;1127992;789;284;789;4616;779;14480;64088;
6.6;400;198.922;1448;1500;536;1448;35;18;1175776;2896;1158400;812;290;812;4732;800;14480;64088;
6.6;404;201.003;1448;1500;536;1448;36;18;1207632;2896;1190256;834;297;834;4856;822;14480;64088;
6.6;408;205.247;1448;1500;536;1448;36;18;1232248;2896;1214872;851;302;851;4972;839;14480;64088;
6.6;408;207.619;1448;1500;536;1448;34;18;1259760;4344;1239488;870;308;870;5088;858;14480;64088;
6.6;408;204.458;1448;1500;536;1448;23;18;1274240;5792;1239488;880;315;880;5204;878;14480;64088;
6.6;392;188.291;1448;1500;536;1448;18;18;1295960;5792;1300304;895;325;895;5320;898;14480;64088;
6.6;332;130.074;1448;1500;536;1448;19;18;1326368;5792;1329264;916;337;916;5436;918;14480;64088;
6.6;324;120.523;1448;1500;536;1448;20;18;1355328;5792;1356776;936;343;936;5556;937;14480;64088;
6.6;320;118.131;1448;1500;536;1448;21;18;1385736;5792;1385736;957;349;957;5676;957;14480;64088;
6.6;320;119.197;1448;1500;536;1448;22;18;1417592;5792;1416144;979;355;979;5788;978;14480;64088;
6.6;324;120.935;1448;1500;536;1448;23;18;1448000;5792;1445104;1000;361;1000;5904;998;14480;64088;
6.6;328;127.629;1448;1500;536;1448;23;18;1471168;5792;1469720;1016;366;1016;6020;1015;14480;64088;
6.6;336;133.406;1448;1500;536;1448;24;18;1501576;5792;1498680;1037;372;1037;6136;1035;14480;64088;
6.6;340;138.869;1448;1500;536;1448;25;18;1530536;5792;1526192;1057;378;1057;6252;1054;14480;64088;
6.6;344;141.811;1448;1500;536;1448;26;18;1559496;5792;1552256;1077;383;1077;6368;1072;14480;64088;
6.6;348;146.274;1448;1500;536;1448;26;18;1587008;5792;1581216;1096;389;1096;6480;1092;14480;64088;
6.6;352;151.777;1448;1500;536;1448;27;18;1615968;5792;1608728;1116;394;1116;6596;1111;14480;64088;
