wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;11422780;0;14480;42340;0.0;reno;2
9.0;364;62.484;1448;1500;536;1448;75;94;1468689;144;1360089;1161;386;1159;896;0;14480;42242;9.804662525558509e-05;reno;4
9.0;312;56.021;1448;1500;536;1448;94;94;1698505;144;1563841;1320;445;1318;1020;0;14480;42242;8.478043926865097e-05;reno;4
9.0;280;79.367;1448;1500;536;1448;113;94;4568441;144;4404817;3302;1257;3300;2412;0;14480;42242;3.152059969692068e-05;reno;6
9.0;284;79.873;1448;1500;536;1448;114;94;4710345;144;4546721;3400;1286;3398;2484;0;14480;42242;3.05710091299045e-05;reno;6
9.0;300;99.332;1448;1500;536;1448;128;94;7144433;144;6960537;5082;1831;5079;3744;0;14480;42242;2.0155553281834962e-05;reno;8
9.0;292;90.075;1448;1500;536;1448;118;64;7263169;146;7064793;5166;1863;5163;3804;0;14480;42242;2.0101418540584694e-05;reno;8
9.0;260;59.994;1448;1500;536;1448;86;64;9872465;146;9747937;6969;2529;6965;5204;0;14480;42242;1.4788606492907294e-05;reno;10
9.0;264;61.207;1448;1500;536;1448;88;64;10014369;146;9886945;7067;2563;7063;5276;0;14480;42242;1.4579051361099236e-05;reno;10
9.0;280;79.016;1448;1500;536;1448;107;64;12793081;146;12639593;8987;3208;8982;6652;0;14480;42242;1.1412418947398207e-05;reno;12
9.0;284;82.845;1448;1500;536;1448;108;64;12979873;146;12824937;9116;3246;9111;6756;0;14480;42242;1.124818401535978e-05;reno;12
9.0;284;83.292;1448;1500;536;1448;124;64;15589169;146;15411065;10919;3903;10913;8044;0;14480;42242;9.365476761461755e-06;reno;14
9.0;288;86.855;1448;1500;536;1448;124;64;15722385;146;15544281;11011;3934;11005;8112;0;14480;42242;9.286122938727172e-06;reno;14
9.0;256;55.087;1448;1500;536;1448;73;66;17994297;148;17888593;12583;4558;12576;9304;0;14480;42242;8.224828121932188e-06;reno;16
9.0;256;55.583;1448;1500;536;1448;75;66;18198465;148;18091313;12724;4604;12717;9408;0;14480;42242;8.132554036837722e-06;reno;16
9.0;276;74.406;1448;1500;536;1448;97;66;20958353;148;20819345;14632;5299;14623;10752;0;14480;42242;7.061623592273687e-06;reno;18
9.0;296;93.097;1448;1500;536;1448;101;66;21536105;148;21389857;15031;5414;15022;11072;0;14480;42242;6.872180461601576e-06;reno;18
9.0;288;84.844;1448;1500;536;1448;118;66;24240969;148;24071553;16900;6100;16890;12384;0;14480;42242;6.105366497519138e-06;reno;20
9.0;288;84.708;1448;1500;536;1448;121;66;24794105;148;24618897;17282;6206;17272;12668;0;14480;42242;5.969160814637189e-06;reno;20
9.0;264;61.056;1448;1500;536;1448;81;61;27190545;150;27074705;18939;6866;18929;13976;0;14480;42242;5.516623517476388e-06;reno;22
9.0;260;58.516;1448;1500;536;1448;82;61;27315073;150;27196337;19025;6891;19015;14044;0;14480;42242;5.491473517204219e-06;reno;22
9.0;272;70.724;1448;1500;536;1448;100;61;29754953;150;29610153;20712;7507;20700;15252;0;14480;42242;5.041177514210827e-06;reno;24
9.0;272;70.855;1448;1500;536;1448;101;61;29856313;150;29711513;20782;7530;20770;15300;0;14480;42242;5.024063085083547e-06;reno;24
9.0;288;87.426;1448;1500;536;1448;117;61;32426513;150;32257097;22559;8189;22545;16552;0;14480;42242;4.6258442898254275e-06;reno;26
9.0;288;86.678;1448;1500;536;1448;119;61;32873945;150;32703081;22868;8287;22854;16780;0;14480;42242;4.56288407126069e-06;reno;26
9.0;296;95.782;1448;1500;536;1448;134;61;35561433;150;35367401;24726;8979;24710;18072;0;14480;42242;4.218052742700217e-06;reno;28
9.0;260;57.883;1448;1500;536;1448;69;68;36129049;154;36029137;25122;9151;25106;18424;0;14480;42242;4.262498024788862e-06;reno;28
9.0;268;67.995;1448;1500;536;1448;91;68;38800609;155;38670289;26969;9793;26952;19764;0;14480;42242;3.9947826592103235e-06;reno;30
9.0;272;68.88;1448;1500;536;1448;93;68;38998985;155;38865769;27106;9831;27089;19872;0;14480;42242;3.9744624122909866e-06;reno;30
9.0;276;74.874;1448;1500;536;1448;111;68;41627105;155;41466377;28923;10476;28904;21152;0;14480;42242;3.7235354224128726e-06;reno;32
9.0;284;81.164;1448;1500;536;1448;111;68;41760321;155;41599593;29015;10506;28996;21224;0;14480;42242;3.7116572930557694e-06;reno;32
9.0;292;89.366;1448;1500;536;1448;126;68;44363825;155;44182825;30815;11139;30794;22536;0;14480;42242;3.4938376030470773e-06;reno;34
9.0;296;95.744;1448;1500;536;1448;127;68;44546273;155;44363825;30941;11176;30920;22632;0;14480;42242;3.479527905735234e-06;reno;34
9.0;260;58.9;1448;1500;536;1448;78;66;46990497;156;46877553;32630;11819;32609;23908;0;14480;42242;3.3198201755559213e-06;reno;36
9.0;272;69.726;1448;1500;536;1448;80;66;47310505;156;47194665;32851;11881;32830;24084;0;14480;42242;3.297364929839578e-06;reno;36
9.0;272;68.485;1448;1500;536;1448;100;66;49830025;156;49685225;34593;12472;34570;25320;0;14480;42242;3.13064261958528e-06;reno;38
9.0;272;70.944;1448;1500;536;1448;100;66;49963241;156;49818441;34685;12504;34662;25384;0;14480;42242;3.1222954491683195e-06;reno;38
9.0;296;93.212;1448;1500;536;1448;118;66;52781049;156;52611633;36633;13222;36608;26764;0;14480;42242;2.9556062820956815e-06;reno;40
9.0;300;98.141;1448;1500;536;1448;120;66;53076441;156;52902681;36837;13275;36812;26928;0;14480;42242;2.9391571299967155e-06;reno;40
9.0;256;52.627;1448;1500;536;1448;70;65;55795785;165;55694425;38725;13969;38699;28396;0;14480;42242;2.9572126281582024e-06;reno;42
