wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
9.9;684;174.416;1448;1500;536;1448;133;0;370688;0;178105;258;64;256;684;124;14480;42242;0.0;cubic;1745496412.8874469
9.9;424;166.297;1448;1500;536;1448;91;87;1316232;5792;1180121;911;386;909;1700;816;14480;42242;0.0044004400440044;cubic;1745496413.9004028
9.9;380;166.927;1448;1500;536;1448;101;87;2173448;5792;2021409;1503;680;1501;2704;1397;14480;42242;0.002664890073284477;cubic;1745496414.9050736
9.9;372;165.946;1448;1500;536;1448;51;51;2884416;15928;2691833;1994;977;1992;3708;1931;14480;42242;0.005522088353413655;cubic;1745496415.908771
9.9;368;165.375;1448;1500;536;1448;26;24;3147952;24616;3085689;2176;1137;2174;4712;2132;14480;42242;0.0078196872125115;cubic;1745496416.9139872
9.9;368;166.582;1448;1500;536;1448;29;24;3394112;24616;3327505;2346;1194;2344;5720;2299;14480;42242;0.007252559726962458;cubic;1745496417.9203668
9.9;372;169.23;1448;1500;536;1448;26;20;3586696;27512;3521537;2479;1232;2477;6724;2433;14480;42242;0.007670569236980218;cubic;1745496418.9240222
9.9;376;172.403;1448;1500;536;1448;20;20;3816928;30408;3728601;2638;1275;2636;7728;2596;14480;42242;0.007966616084977238;cubic;1745496419.9284372
9.9;368;167.155;1448;1500;536;1448;18;17;3996480;33304;3938561;2762;1309;2760;8732;2721;14480;42242;0.008333333333333333;cubic;1745496420.9342802
9.9;372;168.309;1448;1500;536;1448;15;12;4107976;36200;4050057;2839;1335;2837;9740;2798;14480;42242;0.008812125484666901;cubic;1745496421.9406917
9.9;368;166.615;1448;1500;536;1448;17;12;4241192;36200;4180377;2931;1359;2929;10744;2888;14480;42242;0.008535336292249915;cubic;1745496422.94677
9.9;368;167.241;1448;1500;536;1448;15;11;4357032;39096;4296217;3011;1384;3009;11752;2968;14480;42242;0.00897308075772682;cubic;1745496423.9519818
9.9;372;171.595;1448;1500;536;1448;13;11;4458392;41992;4397577;3081;1409;3079;12756;3038;14480;42242;0.009418642416368951;cubic;1745496424.9578745
9.9;368;166.817;1448;1500;536;1448;16;11;4581472;41992;4516313;3166;1433;3164;13760;3120;14480;42242;0.009165613147914033;cubic;1745496425.9636252
9.9;368;166.68;1448;1500;536;1448;15;11;4703104;44888;4636497;3250;1454;3248;14768;3203;14480;42242;0.009544334975369459;cubic;1745496426.9699907
9.9;372;171.041;1448;1500;536;1448;16;11;4827632;44888;4759577;3336;1473;3334;15772;3288;14480;42242;0.009298140371925615;cubic;1745496427.9756567
9.9;368;166.957;1448;1500;536;1448;18;13;4981120;46336;4900033;3442;1499;3440;16780;3391;14480;42242;0.009302325581395349;cubic;1745496428.981633
9.9;368;167.031;1448;1500;536;1448;12;12;5107096;49232;5018769;3529;1524;3527;17788;3482;14480;42242;0.009639920612418485;cubic;1745496429.9885292
9.9;368;166.267;1448;1500;536;1448;15;12;5225832;52128;5151985;3611;1546;3609;18792;3559;14480;42242;0.00997506234413965;cubic;1745496430.9935024
9.9;368;167.514;1448;1500;536;1448;17;12;5359048;52128;5282305;3703;1576;3701;19796;3649;14480;42242;0.009727100783572008;cubic;1745496431.999115
9.9;372;168.482;1448;1500;536;1448;20;12;5518328;52128;5437241;3813;1606;3811;20800;3756;14480;42242;0.009446339543426921;cubic;1745496433.0027874
9.9;368;166.347;1448;1500;536;1448;23;12;5705120;52128;5621137;3942;1639;3940;21808;3883;14480;42242;0.009137055837563452;cubic;1745496434.0086567
9.9;368;166.507;1448;1500;536;1448;26;12;5915080;52128;5825305;4087;1674;4085;22812;4024;14480;42242;0.008812729498164015;cubic;1745496435.0141528
9.9;368;166.676;1448;1500;536;1448;39;12;6197440;52128;6088841;4282;1723;4280;23820;4206;14480;42242;0.008411214953271028;cubic;1745496436.0206606
9.9;376;174.539;1448;1500;536;1448;23;21;6405952;57920;6314729;4426;1762;4424;24824;4362;14480;42242;0.009041591320072333;cubic;1745496437.0255034
9.9;372;171.545;1448;1500;536;1448;20;16;6565232;60816;6476905;4536;1786;4534;25828;4474;14480;42242;0.009263343625937363;cubic;1745496438.0297356
9.9;368;166.513;1448;1500;536;1448;21;16;6738992;60816;6647769;4656;1821;4654;26832;4592;14480;42242;0.009024495058014611;cubic;1745496439.033946
9.9;372;171.718;1448;1500;536;1448;24;16;6931576;60816;6836009;4789;1859;4787;27836;4722;14480;42242;0.008773762272822228;cubic;1745496440.0392299
9.9;372;171.33;1448;1500;536;1448;21;16;7100992;63712;7008321;4906;1893;4904;28844;4841;14480;42242;0.00897226753670473;cubic;1745496441.0436206
9.9;368;166.883;1448;1500;536;1448;19;16;7260272;66608;7166153;5016;1927;5014;29848;4950;14480;42242;0.009174311926605505;cubic;1745496442.0487247
9.9;368;167.237;1448;1500;536;1448;20;16;7426792;66608;7331225;5131;1955;5129;30900;5064;14480;42242;0.008968609865470852;cubic;1745496443.1025152
9.9;216;15.73;1448;1500;536;1448;5;5;8062464;101360;7955313;5570;2157;5568;31908;5495;14480;42242;0.01257183908045977;cubic;1745496444.1083953
9.9;220;17.613;1448;1500;536;1448;7;5;8828456;115840;8701033;6099;2401;6097;32912;6012;14480;42242;0.013121207151057898;cubic;1745496445.1145604
9.9;224;20.376;1448;1500;536;1448;4;3;9333808;139008;9189009;6448;2558;6446;33916;6347;14480;42242;0.014892956872479057;cubic;1745496446.1196573
9.9;220;18.232;1448;1500;536;1448;2;3;9604584;156384;9442409;6635;2642;6633;34924;6524;14480;42242;0.016282225237449117;cubic;1745496447.125555
