{'timestamp': 1744826784.2976594, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 284, 'rtt': 51.388, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 7, 'bytes_sent': 269328, 'bytes_retrans': 1448, 'bytes_acked': 247609, 'segs_out': 188, 'segs_in': 99, 'data_segs_out': 186, 'lastrcv': 896, 'delivered': 172, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826785.3065915, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.819, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 25, 'ssthresh': 7, 'bytes_sent': 861560, 'bytes_retrans': 1448, 'bytes_acked': 823913, 'segs_out': 597, 'segs_in': 293, 'data_segs_out': 595, 'lastrcv': 1908, 'delivered': 570, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826786.3184369, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.663, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 27, 'ssthresh': 17, 'bytes_sent': 1524744, 'bytes_retrans': 7240, 'bytes_acked': 1478409, 'segs_out': 1055, 'segs_in': 517, 'data_segs_out': 1053, 'lastrcv': 2916, 'delivered': 1022, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826787.3260033, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.243, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 14, 'bytes_sent': 2093808, 'bytes_retrans': 10136, 'bytes_acked': 2056161, 'segs_out': 1448, 'segs_in': 710, 'data_segs_out': 1446, 'lastrcv': 3924, 'delivered': 1421, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826788.3346806, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.86, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 11, 'bytes_sent': 2575992, 'bytes_retrans': 15928, 'bytes_acked': 2536897, 'segs_out': 1781, 'segs_in': 867, 'data_segs_out': 1779, 'lastrcv': 4936, 'delivered': 1753, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826789.3440707, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.982, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 16, 'bytes_sent': 3136368, 'bytes_retrans': 17376, 'bytes_acked': 3092929, 'segs_out': 2168, 'segs_in': 1053, 'data_segs_out': 2166, 'lastrcv': 5944, 'delivered': 2137, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826790.3526068, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.593, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 30, 'ssthresh': 16, 'bytes_sent': 3870504, 'bytes_retrans': 17376, 'bytes_acked': 3809689, 'segs_out': 2675, 'segs_in': 1291, 'data_segs_out': 2673, 'lastrcv': 6952, 'delivered': 2632, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826791.362444, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.47, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 21, 'bytes_sent': 4627808, 'bytes_retrans': 23168, 'bytes_acked': 4546721, 'segs_out': 3198, 'segs_in': 1544, 'data_segs_out': 3196, 'lastrcv': 7964, 'delivered': 3160, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826792.3716009, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.589, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 11, 'bytes_sent': 5069448, 'bytes_retrans': 30408, 'bytes_acked': 5005737, 'segs_out': 3503, 'segs_in': 1695, 'data_segs_out': 3501, 'lastrcv': 8972, 'delivered': 3470, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826793.379669, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.35, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 6, 'bytes_sent': 5338776, 'bytes_retrans': 39096, 'bytes_acked': 5289545, 'segs_out': 3689, 'segs_in': 1786, 'data_segs_out': 3687, 'lastrcv': 9980, 'delivered': 3654, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826794.385874, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.303, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 6, 'bytes_sent': 5732632, 'bytes_retrans': 39096, 'bytes_acked': 5667473, 'segs_out': 3961, 'segs_in': 1912, 'data_segs_out': 3959, 'lastrcv': 10988, 'delivered': 3915, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
