{'timestamp': 1745406352.123873, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 272, 'rtt': 52.863, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 58, 'ssthresh': 57, 'bytes_sent': 1556600, 'bytes_retrans': 10136, 'bytes_acked': 1463929, 'segs_out': 1079, 'segs_in': 473, 'data_segs_out': 1076, 'lastrcv': 796, 'delivered': 1013, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406353.2625346, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 54.938, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 23, 'bytes_sent': 2541240, 'bytes_retrans': 26064, 'bytes_acked': 2480425, 'segs_out': 1759, 'segs_in': 831, 'data_segs_out': 1756, 'lastrcv': 1900, 'delivered': 1715, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406354.3386621, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.519, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 10, 'bytes_sent': 2988672, 'bytes_retrans': 37648, 'bytes_acked': 2933649, 'segs_out': 2068, 'segs_in': 958, 'data_segs_out': 2065, 'lastrcv': 3000, 'delivered': 2028, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406355.4206488, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.669, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 3489680, 'bytes_retrans': 43440, 'bytes_acked': 3412937, 'segs_out': 2414, 'segs_in': 1106, 'data_segs_out': 2411, 'lastrcv': 4084, 'delivered': 2369, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406356.5077593, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.65, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 10, 'bytes_sent': 3938560, 'bytes_retrans': 43440, 'bytes_acked': 3866161, 'segs_out': 2724, 'segs_in': 1237, 'data_segs_out': 2721, 'lastrcv': 5172, 'delivered': 2672, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406357.5807068, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.251, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 8, 'bytes_sent': 4319384, 'bytes_retrans': 52128, 'bytes_acked': 4251329, 'segs_out': 2987, 'segs_in': 1358, 'data_segs_out': 2984, 'lastrcv': 6252, 'delivered': 2938, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406358.7073894, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 55.874, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 7, 'bytes_sent': 4658216, 'bytes_retrans': 63712, 'bytes_acked': 4584369, 'segs_out': 3221, 'segs_in': 1464, 'data_segs_out': 3218, 'lastrcv': 7336, 'delivered': 3168, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406359.7834969, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.9, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 8, 'bytes_sent': 4937680, 'bytes_retrans': 69504, 'bytes_acked': 4856593, 'segs_out': 3414, 'segs_in': 1544, 'data_segs_out': 3411, 'lastrcv': 8456, 'delivered': 3356, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406360.8464277, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.874, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 8, 'bytes_sent': 5230176, 'bytes_retrans': 75296, 'bytes_acked': 5131713, 'segs_out': 3616, 'segs_in': 1632, 'data_segs_out': 3613, 'lastrcv': 9524, 'delivered': 3554, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406361.9222944, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.498, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 8, 'bytes_sent': 5609552, 'bytes_retrans': 75296, 'bytes_acked': 5508193, 'segs_out': 3879, 'segs_in': 1742, 'data_segs_out': 3875, 'lastrcv': 10592, 'delivered': 3806, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406363.0044298, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.598, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 16, 'bytes_sent': 6207576, 'bytes_retrans': 78192, 'bytes_acked': 6101873, 'segs_out': 4292, 'segs_in': 1911, 'data_segs_out': 4288, 'lastrcv': 11672, 'delivered': 4216, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
