{'timestamp': 1745349164.1954265, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 692, 'rtt': 327.391, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 40, 'ssthresh': 39, 'bytes_sent': 162176, 'bytes_retrans': 0, 'bytes_acked': 104257, 'segs_out': 114, 'segs_in': 42, 'data_segs_out': 112, 'lastrcv': 900, 'delivered': 73, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349165.198569, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 632, 'rtt': 322.789, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 19, 'bytes_sent': 257744, 'bytes_retrans': 5792, 'bytes_acked': 224441, 'segs_out': 180, 'segs_in': 94, 'data_segs_out': 178, 'lastrcv': 1900, 'delivered': 156, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349166.2044334, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 492, 'rtt': 255.899, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 23, 'ssthresh': 19, 'bytes_sent': 382272, 'bytes_retrans': 5792, 'bytes_acked': 343177, 'segs_out': 266, 'segs_in': 152, 'data_segs_out': 264, 'lastrcv': 2908, 'delivered': 238, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349167.2108202, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 452, 'rtt': 235.566, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 16, 'bytes_sent': 496664, 'bytes_retrans': 8688, 'bytes_acked': 464809, 'segs_out': 345, 'segs_in': 192, 'data_segs_out': 343, 'lastrcv': 3912, 'delivered': 322, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349168.2165325, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 448, 'rtt': 241.673, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 22, 'ssthresh': 16, 'bytes_sent': 626984, 'bytes_retrans': 8688, 'bytes_acked': 586441, 'segs_out': 435, 'segs_in': 232, 'data_segs_out': 433, 'lastrcv': 4920, 'delivered': 406, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349169.2227926, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 412, 'rtt': 208.731, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 16, 'bytes_sent': 742824, 'bytes_retrans': 11584, 'bytes_acked': 705177, 'segs_out': 515, 'segs_in': 276, 'data_segs_out': 513, 'lastrcv': 5924, 'delivered': 488, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349170.22812, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 408, 'rtt': 205.947, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 15, 'bytes_sent': 863008, 'bytes_retrans': 14480, 'bytes_acked': 826809, 'segs_out': 598, 'segs_in': 318, 'data_segs_out': 596, 'lastrcv': 6932, 'delivered': 572, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349171.2333612, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 428, 'rtt': 227.217, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 15, 'bytes_sent': 983192, 'bytes_retrans': 14480, 'bytes_acked': 944097, 'segs_out': 681, 'segs_in': 359, 'data_segs_out': 679, 'lastrcv': 7936, 'delivered': 653, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349172.2403214, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 428, 'rtt': 224.9, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 15, 'bytes_sent': 1106272, 'bytes_retrans': 14480, 'bytes_acked': 1062833, 'segs_out': 766, 'segs_in': 399, 'data_segs_out': 764, 'lastrcv': 8944, 'delivered': 735, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349173.2443998, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 452, 'rtt': 251.85, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 22, 'ssthresh': 15, 'bytes_sent': 1230800, 'bytes_retrans': 14480, 'bytes_acked': 1184465, 'segs_out': 852, 'segs_in': 440, 'data_segs_out': 850, 'lastrcv': 9948, 'delivered': 819, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745349174.2497644, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 480, 'rtt': 276.234, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 15, 'bytes_sent': 1352432, 'bytes_retrans': 14480, 'bytes_acked': 1303201, 'segs_out': 936, 'segs_in': 480, 'data_segs_out': 934, 'lastrcv': 10952, 'delivered': 901, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
