{'timestamp': 1745350598.066084, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.378, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 7, 'ssthresh': 6, 'bytes_sent': 373584, 'bytes_retrans': 62264, 'bytes_acked': 301185, 'segs_out': 260, 'segs_in': 131, 'data_segs_out': 258, 'lastrcv': 896, 'delivered': 209, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350599.0713422, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.69, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 11, 'bytes_sent': 716760, 'bytes_retrans': 65160, 'bytes_acked': 634225, 'segs_out': 497, 'segs_in': 243, 'data_segs_out': 495, 'lastrcv': 1904, 'delivered': 439, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350600.0768075, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.583, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 8, 'bytes_sent': 1012152, 'bytes_retrans': 72400, 'bytes_acked': 926721, 'segs_out': 701, 'segs_in': 343, 'data_segs_out': 699, 'lastrcv': 2908, 'delivered': 641, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350601.0821142, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.654, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 1349536, 'bytes_retrans': 78192, 'bytes_acked': 1258313, 'segs_out': 934, 'segs_in': 454, 'data_segs_out': 932, 'lastrcv': 3912, 'delivered': 870, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350602.0862324, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.618, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 9, 'bytes_sent': 1823032, 'bytes_retrans': 78192, 'bytes_acked': 1714433, 'segs_out': 1261, 'segs_in': 604, 'data_segs_out': 1259, 'lastrcv': 4916, 'delivered': 1185, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350603.0886564, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.003, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 23, 'ssthresh': 18, 'bytes_sent': 2487664, 'bytes_retrans': 81088, 'bytes_acked': 2374721, 'segs_out': 1720, 'segs_in': 828, 'data_segs_out': 1718, 'lastrcv': 5920, 'delivered': 1641, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350604.0910883, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.17, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 14, 'bytes_sent': 3095824, 'bytes_retrans': 86880, 'bytes_acked': 2987225, 'segs_out': 2140, 'segs_in': 1034, 'data_segs_out': 2138, 'lastrcv': 6924, 'delivered': 2064, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350605.0955179, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.378, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 18, 'bytes_sent': 3744528, 'bytes_retrans': 89776, 'bytes_acked': 3606969, 'segs_out': 2588, 'segs_in': 1243, 'data_segs_out': 2586, 'lastrcv': 7928, 'delivered': 2504, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350606.0999608, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 45.985, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 11, 'bytes_sent': 4304904, 'bytes_retrans': 94120, 'bytes_acked': 4193409, 'segs_out': 2975, 'segs_in': 1432, 'data_segs_out': 2973, 'lastrcv': 8932, 'delivered': 2897, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350607.1037958, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.869, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 7, 'bytes_sent': 4613328, 'bytes_retrans': 99912, 'bytes_acked': 4498937, 'segs_out': 3188, 'segs_in': 1535, 'data_segs_out': 3186, 'lastrcv': 9936, 'delivered': 3108, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350608.1099772, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.321, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 14, 'bytes_sent': 5086824, 'bytes_retrans': 102808, 'bytes_acked': 4960849, 'segs_out': 3515, 'segs_in': 1686, 'data_segs_out': 3513, 'lastrcv': 10940, 'delivered': 3427, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
