wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;11671816;0;14480;42340;0.0;cubic;2
9.0;288;64.931;1448;1500;536;1448;90;85;2027201;58;1898329;1460;675;1458;1200;0;14480;42242;2.8610877757065036e-05;cubic;4
9.0;276;62.717;1448;1500;536;1448;91;85;2212545;58;2080777;1588;739;1586;1292;0;14480;42242;2.621415609626019e-05;cubic;4
9.0;280;78.186;1448;1500;536;1448;101;85;4698761;58;4553961;3305;1314;3303;2560;0;14480;42242;1.2343679535945753e-05;cubic;6
9.0;276;73.824;1448;1500;536;1448;102;85;5240313;58;5092617;3679;1429;3677;2836;0;14480;42242;1.1068041164716689e-05;cubic;6
9.0;280;77.763;1448;1500;536;1448;109;85;8143553;58;7987169;5685;2066;5682;4320;0;14480;42242;7.122198381959324e-06;cubic;8
9.0;284;82.273;1448;1500;536;1448;111;85;8690897;58;8531617;6063;2192;6060;4592;0;14480;42242;6.673649451834488e-06;cubic;8
9.0;288;87.012;1448;1500;536;1448;119;85;11190145;58;11019281;7791;2802;7786;5868;0;14480;42242;5.183132122059187e-06;cubic;10
9.0;276;75.419;1448;1500;536;1448;121;85;12073425;58;11898217;8401;3017;8396;6300;0;14480;42242;4.803939230168738e-06;cubic;10
9.0;296;95.441;1448;1500;536;1448;130;85;14875305;58;14688513;10336;3683;10331;7696;0;14480;42242;3.899079716348673e-06;cubic;12
9.0;292;89.427;1448;1500;536;1448;131;85;15183729;58;14994041;10549;3744;10544;7840;0;14480;42242;3.819878502836819e-06;cubic;12
9.0;276;73.445;1448;1500;536;1448;107;95;18230321;60;18076833;12656;4486;12650;9376;0;14480;42242;3.2912201600838514e-06;cubic;14
9.0;284;80.789;1448;1500;536;1448;109;95;18360641;60;18204257;12746;4512;12740;9448;0;14480;42242;3.2678597658981515e-06;cubic;14
9.0;288;87.768;1448;1500;536;1448;123;95;20887401;62;20709297;14494;5182;14487;10700;0;14480;42242;2.9682965343558063e-06;cubic;16
9.0;284;83.315;1448;1500;536;1448;124;95;21039441;62;20861337;14599;5221;14592;10780;0;14480;42242;2.9468463539501836e-06;cubic;16
9.0;272;68.103;1448;1500;536;1448;99;88;23377961;64;23236057;16217;5856;16209;11976;0;14480;42242;2.737621129575843e-06;cubic;18
9.0;276;72.992;1448;1500;536;1448;100;88;23570545;64;23425745;16350;5895;16342;12072;0;14480;42242;2.715253296009914e-06;cubic;18
9.0;284;82.12;1448;1500;536;1448;120;88;26328985;64;26156673;18257;6584;18247;13396;0;14480;42242;2.430781133416271e-06;cubic;20
9.0;296;92.891;1448;1500;536;1448;121;88;26521569;64;26346361;18390;6636;18380;13500;0;14480;42242;2.4131302337354174e-06;cubic;20
9.0;292;89.434;1448;1500;536;1448;127;88;29201817;64;29017921;20242;7264;20231;14832;0;14480;42242;2.191644444590554e-06;cubic;22
9.0;300;98.92;1448;1500;536;1448;127;88;29763641;64;29581193;20630;7393;20619;15112;0;14480;42242;2.150274558142937e-06;cubic;22
9.0;276;73.886;1448;1500;536;1448;110;88;32469953;71;32312121;22508;8135;22495;16456;0;14480;42242;2.18663698096514e-06;cubic;24
9.0;284;80.075;1448;1500;536;1448;115;88;33137481;71;32972409;22969;8283;22956;16780;0;14480;42242;2.1425889312467655e-06;cubic;24
9.0;296;93.601;1448;1500;536;1448;125;88;35972665;71;35791665;24928;9019;24914;18160;0;14480;42242;1.9737208794511055e-06;cubic;26
9.0;292;88.011;1448;1500;536;1448;126;88;36191313;71;36010313;25079;9066;25065;18268;0;14480;42242;1.9617967438760787e-06;cubic;26
9.0;292;88.511;1448;1500;536;1448;127;88;38765857;71;38581961;26857;9715;26843;19512;0;14480;42242;1.8315085875697267e-06;cubic;28
9.0;288;86.253;1448;1500;536;1448;127;88;38890385;71;38706489;26943;9747;26929;19572;0;14480;42242;1.825644050579597e-06;cubic;28
