wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;6416496;0;14480;42340;0.0;cubic;2
9.0;272;69.939;1448;1500;536;1448;184;184;2186481;288;1920049;1800;558;1798;948;1327;14480;42242;0.00013171850109834022;cubic;4
9.0;272;70.083;1448;1500;536;1448;184;184;2196617;288;1930185;1807;561;1805;952;1334;14480;42242;0.00013111070341347627;cubic;4
9.0;280;78.697;1448;1500;536;1448;100;96;4509073;314;4364273;3430;1304;3428;1996;3015;14480;42242;6.963737335811596e-05;cubic;6
9.0;280;79.412;1448;1500;536;1448;100;96;4526449;314;4383097;3442;1310;3440;2004;3028;14480;42242;6.937005144650917e-05;cubic;6
9.0;268;66.858;1448;1500;536;1448;112;96;7047417;314;6886689;5183;2144;5181;3056;4757;14480;42242;4.455533140723757e-05;cubic;8
9.0;268;67.195;1448;1500;536;1448;112;96;7061897;314;6899721;5193;2148;5191;3060;4766;14480;42242;4.4463973348804155e-05;cubic;8
9.0;272;70.093;1448;1500;536;1448;116;96;9562593;314;9396073;6920;2981;6918;4112;6490;14480;42242;3.2836281958251284e-05;cubic;10
9.0;272;70.14;1448;1500;536;1448;116;96;9571281;314;9404761;6926;2984;6924;4116;6496;14480;42242;3.280647595656214e-05;cubic;10
9.0;276;73.784;1448;1500;536;1448;122;96;12070529;314;11895321;8652;3814;8650;5160;8216;14480;42242;2.6013772884353288e-05;cubic;12
9.0;276;73.965;1448;1500;536;1448;122;96;12085009;314;11908353;8662;3818;8660;5164;8225;14480;42242;2.598260373657976e-05;cubic;12
9.0;280;78.276;1448;1500;536;1448;129;96;14608873;314;14422081;10405;4658;10403;6228;9961;14480;42242;2.1493786687036022e-05;cubic;14
9.0;280;78.543;1448;1500;536;1448;129;96;14623353;314;14436561;10415;4663;10413;6236;9971;14480;42242;2.1472503604337526e-05;cubic;14
9.0;284;82.187;1448;1500;536;1448;136;96;17126945;314;16931465;12144;5492;12142;7284;11694;14480;42242;1.833368414507082e-05;cubic;16
9.0;284;82.61;1448;1500;536;1448;136;96;17153009;314;16957529;12162;5501;12160;7292;11712;14480;42242;1.830582610899347e-05;cubic;16
9.0;268;65.323;1448;1500;536;1448;110;97;19611713;317;19453881;13863;6301;13861;8344;13436;14480;42242;1.6163809861994206e-05;cubic;18
9.0;268;65.459;1448;1500;536;1448;111;97;19623297;317;19462569;13871;6304;13869;8352;13442;14480;42242;1.6154268062089668e-05;cubic;18
9.0;280;76.215;1448;1500;536;1448;127;97;22141369;317;21957473;15610;7136;15608;9400;15165;14480;42242;1.4317091233157263e-05;cubic;20
9.0;280;76.75;1448;1500;536;1448;127;97;22158745;317;21974849;15622;7142;15620;9404;15177;14480;42242;1.4305864343851603e-05;cubic;20
9.0;284;81.871;1448;1500;536;1448;136;97;24660889;317;24465409;17350;7972;17348;10452;16897;14480;42242;1.2854362225141194e-05;cubic;22
9.0;284;81.986;1448;1500;536;1448;136;97;24672473;317;24476993;17358;7976;17356;10456;16905;14480;42242;1.2848326959360742e-05;cubic;22
9.0;248;46.125;1448;1500;536;1448;73;67;26995065;319;26890809;18964;8763;18962;11508;18572;14480;42242;1.1816974695189658e-05;cubic;24
9.0;248;45.834;1448;1500;536;1448;73;67;27015337;319;26909633;18978;8769;18976;11516;18585;14480;42242;1.180810737248993e-05;cubic;24
9.0;252;49.827;1448;1500;536;1448;84;67;29494313;319;29374129;20690;9593;20688;12564;20287;14480;42242;1.0815644358286968e-05;cubic;26
9.0;252;50.397;1448;1500;536;1448;84;67;29516033;319;29394401;20705;9600;20703;12572;20301;14480;42242;1.0807685436589667e-05;cubic;26
9.0;260;56.568;1448;1500;536;1448;94;67;32032657;319;31896545;22443;10437;22441;13624;22029;14480;42242;9.958586950810855e-06;cubic;28
9.0;260;56.72;1448;1500;536;1448;94;67;32042793;319;31908129;22450;10441;22448;13628;22037;14480;42242;9.955436781057132e-06;cubic;28
9.0;264;62.034;1448;1500;536;1448;103;67;34536249;319;34388553;24172;11272;24170;14676;23750;14480;42242;9.236671880608691e-06;cubic;30
9.0;264;62.361;1448;1500;536;1448;103;67;34553625;319;34405929;24184;11278;24182;14680;23762;14480;42242;9.232027030449048e-06;cubic;30
9.0;272;69.318;1448;1500;536;1448;112;67;37097761;319;36935585;25941;12121;25939;15744;25509;14480;42242;8.598901696520176e-06;cubic;32
9.0;272;69.47;1448;1500;536;1448;112;67;37109345;319;36947169;25949;12125;25947;15748;25517;14480;42242;8.59621747567897e-06;cubic;32
9.0;276;73.136;1448;1500;536;1448;120;67;39612937;319;39440625;27678;12954;27676;16796;27239;14480;42242;8.052924730120365e-06;cubic;34
9.0;276;73.349;1448;1500;536;1448;120;67;39621625;319;39449313;27684;12957;27682;16800;27245;14480;42242;8.051158931517826e-06;cubic;34
9.0;280;79.863;1448;1500;536;1448;128;67;42126665;319;41942769;29414;13790;29412;17852;28967;14480;42242;7.57240099590129e-06;cubic;36
9.0;280;79.762;1448;1500;536;1448;128;67;42142593;319;41958697;29425;13795;29423;17856;28978;14480;42242;7.569538969754424e-06;cubic;36
9.0;284;81.724;1448;1500;536;1448;135;67;44647633;319;44452153;31155;14627;31153;18908;30700;14480;42242;7.144835651197904e-06;cubic;38
9.0;284;80.715;1448;1500;536;1448;135;67;44659217;319;44463737;31163;14631;31161;18912;30708;14480;42242;7.142982376963752e-06;cubic;38
9.0;264;63.113;1448;1500;536;1448;105;98;47112129;321;46960089;32859;15447;32857;19960;32432;14480;42242;6.813532031210052e-06;cubic;40
9.0;264;63.453;1448;1500;536;1448;106;98;47129505;321;46976017;32871;15452;32869;19968;32443;14480;42242;6.8110199757031185e-06;cubic;40
9.0;276;74.376;1448;1500;536;1448;125;98;49647577;321;49466577;34610;16285;34608;21012;34163;14480;42242;6.4655723279305255e-06;cubic;42
9.0;276;74.592;1448;1500;536;1448;125;98;49656265;321;49475265;34616;16288;34614;21016;34169;14480;42242;6.4644410931833074e-06;cubic;42
9.0;284;82.703;1448;1500;536;1448;136;98;52152617;321;51957137;36340;17121;36338;22060;35883;14480;42242;6.155012317023324e-06;cubic;44
9.0;284;82.639;1448;1500;536;1448;136;98;52167097;321;51971617;36350;17126;36348;22064;35893;14480;42242;6.1533038727456885e-06;cubic;44
9.0;264;62.457;1448;1500;536;1448;104;96;54620009;323;54469417;38046;17955;38044;23116;37618;14480;42242;5.913583793074805e-06;cubic;46
9.0;264;62.6;1448;1500;536;1448;104;96;54631593;323;54481001;38054;17959;38052;23120;37626;14480;42242;5.912329885749442e-06;cubic;46
9.0;272;68.224;1448;1500;536;1448;113;96;57140977;323;56977353;39787;18791;39785;24172;39350;14480;42242;5.652685987500703e-06;cubic;48
9.0;272;68.466;1448;1500;536;1448;113;96;57158353;323;56994729;39799;18797;39797;24176;39362;14480;42242;5.65096758473779e-06;cubic;48
9.0;272;70.784;1448;1500;536;1448;117;96;59654705;323;59486737;41523;19631;41521;25224;41083;14480;42242;5.414493291015352e-06;cubic;50
9.0;272;70.986;1448;1500;536;1448;117;96;59670633;323;59501217;41534;19636;41532;25232;41093;14480;42242;5.413047989619953e-06;cubic;50
9.0;276;74.398;1448;1500;536;1448;124;96;62172777;323;61994673;43262;20468;43260;26284;42815;14480;42242;5.195199821941362e-06;cubic;52
9.0;276;74.38;1448;1500;536;1448;124;96;62190153;323;62012049;43274;20474;43272;26288;42827;14480;42242;5.193748277158926e-06;cubic;52
9.0;280;78.097;1448;1500;536;1448;131;96;64687953;323;64498265;44999;21306;44997;27336;44544;14480;42242;4.99320174809056e-06;cubic;54
9.0;280;78.726;1448;1500;536;1448;131;96;64705329;323;64515641;45011;21312;45009;27340;44556;14480;42242;4.991860871304742e-06;cubic;54
9.0;284;82.991;1448;1500;536;1448;138;96;67195889;323;66997513;46731;22140;46729;28388;46270;14480;42242;4.806841680448636e-06;cubic;56
9.0;284;83.489;1448;1500;536;1448;138;96;67219057;323;67020681;46747;22148;46745;28396;46286;14480;42242;4.805184934385497e-06;cubic;56
9.0;272;69.011;1448;1500;536;1448;115;96;69695137;325;69530065;48459;22969;48457;29448;48019;14480;42242;4.663166097227128e-06;cubic;58
9.0;272;69.226;1448;1500;536;1448;115;96;69711065;325;69544545;48470;22974;48468;29456;48029;14480;42242;4.662100629218619e-06;cubic;58
9.0;280;77.974;1448;1500;536;1448;130;96;72233481;325;72046689;50212;23807;50210;30508;49757;14480;42242;4.49929860088011e-06;cubic;60
9.0;280;78.794;1448;1500;536;1448;130;96;72249409;325;72062617;50223;23812;50221;30516;49768;14480;42242;4.4983066920312105e-06;cubic;60
9.0;284;82.298;1448;1500;536;1448;137;96;74796441;325;74598065;51982;24658;51980;31580;51519;14480;42242;4.345126528145905e-06;cubic;62
9.0;284;82.47;1448;1500;536;1448;137;96;74813817;325;74615441;51994;24664;51992;31588;51531;14480;42242;4.344117343992754e-06;cubic;62
9.0;272;69.116;1448;1500;536;1448;111;96;77269625;327;77108897;53692;25474;53690;32640;53253;14480;42242;4.231934605609902e-06;cubic;64
9.0;272;69.785;1448;1500;536;1448;111;96;77281209;327;77120481;53700;25478;53698;32644;53261;14480;42242;4.231300263431438e-06;cubic;64
9.0;280;76.776;1448;1500;536;1448;127;96;79807969;327;79624073;55445;26311;55443;33696;54990;14480;42242;4.097335192178616e-06;cubic;66
9.0;280;76.534;1448;1500;536;1448;127;96;79822449;327;79638553;55455;26316;55453;33704;55000;14480;42242;4.096591924910748e-06;cubic;66
9.0;284;81.272;1448;1500;536;1448;136;96;82327489;327;82132009;57185;27150;57183;34752;56722;14480;42242;3.971941862577638e-06;cubic;68
9.0;284;81.806;1448;1500;536;1448;136;96;82339073;327;82143593;57193;27154;57191;34756;56730;14480;42242;3.971383063785525e-06;cubic;68
9.0;264;61.524;1448;1500;536;1448;103;95;84789089;329;84641393;58887;27973;58885;35808;58455;14480;42242;3.8802162386719355e-06;cubic;70
9.0;264;62.192;1448;1500;536;1448;103;95;84803569;329;84655873;58897;27978;58895;35812;58465;14480;42242;3.879553701330659e-06;cubic;70
9.0;268;67.666;1448;1500;536;1448;112;95;87344809;329;87182633;60652;28811;60650;36876;60210;14480;42242;3.766680627809261e-06;cubic;72
9.0;268;67.844;1448;1500;536;1448;112;95;87359289;329;87197113;60662;28816;60660;36884;60220;14480;42242;3.7660562919645556e-06;cubic;72
9.0;272;71.754;1448;1500;536;1448;116;95;89862881;329;89696361;62391;29647;62389;37932;61946;14480;42242;3.66113345509143e-06;cubic;74
9.0;276;72.107;1448;1500;536;1448;116;95;89877361;329;89709393;62401;29651;62399;37940;61955;14480;42242;3.660543615649774e-06;cubic;74
9.0;276;73.426;1448;1500;536;1448;123;95;92378057;329;92199953;64128;30483;64126;38984;63675;14480;42242;3.5614518283275865e-06;cubic;76
9.0;276;74.033;1448;1500;536;1448;123;95;92392537;329;92214433;64138;30488;64136;38992;63685;14480;42242;3.560893668284052e-06;cubic;76
9.0;280;78.396;1448;1500;536;1448;130;95;94900473;329;94713681;65870;31321;65868;40040;65411;14480;42242;3.466789886284339e-06;cubic;78
9.0;280;78.586;1448;1500;536;1448;130;95;94909161;329;94722369;65876;31324;65874;40044;65417;14480;42242;3.4664725357755508e-06;cubic;78
9.0;284;82.972;1448;1500;536;1448;137;95;97412753;329;97214377;67605;32158;67603;41092;67138;14480;42242;3.3773811936102452e-06;cubic;80
9.0;284;83.046;1448;1500;536;1448;137;95;97427233;329;97228857;67615;32163;67613;41100;67148;14480;42242;3.376879234577051e-06;cubic;80
