wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
9.0;3996;1332.0;1448;1500;536;1448;10;42242;14481;1;1;13;1;10;252;0;14480;42242;6.905600441958428e-05;reno;0
9.0;256;53.3;1448;1500;536;1448;20;7;1954801;19;1925841;1373;724;1369;3928;0;14480;42242;9.719659443595538e-06;reno;2
9.0;260;59.75;1448;1500;536;1448;8;3;2658529;30;2646945;1870;970;1866;6472;0;14480;42242;1.1284435866601418e-05;reno;4
9.0;256;52.86;1448;1500;536;1448;18;14;3953041;38;3900913;2772;1386;2768;9632;0;14480;42242;9.612852484960312e-06;reno;6
9.0;264;60.162;1448;1500;536;1448;12;12;5350361;48;5332985;3747;1823;3743;12932;0;14480;42242;8.971357259818543e-06;reno;8
9.0;256;54.555;1448;1500;536;1448;12;8;6750577;58;6733201;4724;2269;4720;16080;0;14480;42242;8.591858147829438e-06;reno;10
9.0;264;63.059;1448;1500;536;1448;17;3;7390593;68;7367425;5176;2481;5172;18796;0;14480;42242;9.20088550404548e-06;reno;12
9.0;264;60.615;1448;1500;536;1448;12;10;8224641;81;8207265;5765;2764;5761;21616;0;14480;42242;9.848454175689858e-06;reno;14
9.0;260;57.901;1448;1500;536;1448;6;6;9467025;93;9448201;6635;3155;6631;24612;0;14480;42242;9.823571819024455e-06;reno;16
9.0;256;53.302;1448;1500;536;1448;5;5;10558817;103;10551577;7399;3522;7395;27712;0;14480;42242;9.754880684076635e-06;reno;18
9.0;260;56.449;1448;1500;536;1448;17;13;11666537;113;11641921;8174;3879;8170;30940;0;14480;42242;9.685821936706667e-06;reno;20
9.0;256;54.908;1448;1500;536;1448;7;7;12800321;124;12769913;8968;4260;8964;33728;0;14480;42242;9.687257061756498e-06;reno;22
9.0;256;54.605;1448;1500;536;1448;12;9;13522873;134;13505497;9477;4497;9473;36540;0;14480;42242;9.909136911956505e-06;reno;24
9.0;264;61.906;1448;1500;536;1448;22;21;15493601;142;15461745;10846;5097;10842;40044;0;14480;42242;9.165074019913125e-06;reno;26
