{'timestamp': 1744826902.8437967, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 276, 'rtt': 62.199, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 88, 'ssthresh': 88, 'bytes_sent': 1123648, 'bytes_retrans': 76744, 'bytes_acked': 919481, 'segs_out': 778, 'segs_in': 311, 'data_segs_out': 776, 'lastrcv': 888, 'delivered': 636, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826903.8522534, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.648, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 33, 'ssthresh': 32, 'bytes_sent': 2238608, 'bytes_retrans': 82536, 'bytes_acked': 2109737, 'segs_out': 1548, 'segs_in': 798, 'data_segs_out': 1546, 'lastrcv': 1896, 'delivered': 1458, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826904.8655038, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.971, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 14, 'bytes_sent': 3007496, 'bytes_retrans': 91224, 'bytes_acked': 2894553, 'segs_out': 2079, 'segs_in': 1109, 'data_segs_out': 2077, 'lastrcv': 2908, 'delivered': 2000, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826905.8779004, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.416, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 11, 'bytes_sent': 3518640, 'bytes_retrans': 97016, 'bytes_acked': 3385425, 'segs_out': 2432, 'segs_in': 1294, 'data_segs_out': 2430, 'lastrcv': 3920, 'delivered': 2353, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826906.8852077, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.084, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 10, 'bytes_sent': 3840096, 'bytes_retrans': 99912, 'bytes_acked': 3705433, 'segs_out': 2654, 'segs_in': 1415, 'data_segs_out': 2652, 'lastrcv': 4928, 'delivered': 2574, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826907.8937438, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.32, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 9, 'bytes_sent': 4187616, 'bytes_retrans': 102808, 'bytes_acked': 4065985, 'segs_out': 2894, 'segs_in': 1542, 'data_segs_out': 2892, 'lastrcv': 5936, 'delivered': 2809, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826908.9028678, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.822, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 9, 'bytes_sent': 4761024, 'bytes_retrans': 102808, 'bytes_acked': 4624913, 'segs_out': 3290, 'segs_in': 1746, 'data_segs_out': 3288, 'lastrcv': 6948, 'delivered': 3195, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826909.9106674, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.703, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 14, 'bytes_sent': 5353256, 'bytes_retrans': 111496, 'bytes_acked': 5215697, 'segs_out': 3699, 'segs_in': 1948, 'data_segs_out': 3697, 'lastrcv': 7956, 'delivered': 3603, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826910.9212358, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.367, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 18, 'bytes_sent': 5983136, 'bytes_retrans': 117288, 'bytes_acked': 5838337, 'segs_out': 4134, 'segs_in': 2156, 'data_segs_out': 4132, 'lastrcv': 8964, 'delivered': 4033, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826911.929441, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.973, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 14, 'bytes_sent': 6611568, 'bytes_retrans': 123080, 'bytes_acked': 6450841, 'segs_out': 4568, 'segs_in': 2367, 'data_segs_out': 4566, 'lastrcv': 9972, 'delivered': 4468, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744826912.9375937, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.419, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 8, 'bytes_sent': 6957640, 'bytes_retrans': 128872, 'bytes_acked': 6811393, 'segs_out': 4807, 'segs_in': 2480, 'data_segs_out': 4805, 'lastrcv': 10980, 'delivered': 4705, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
