{'timestamp': 1745404370.1576674, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 18.435, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 11, 'bytes_sent': 2970688, 'bytes_retrans': 57920, 'bytes_acked': 2888153, 'segs_out': 2055, 'segs_in': 531, 'data_segs_out': 2052, 'lastrcv': 944, 'delivered': 1997, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404371.4171996, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 16.332, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 10, 'bytes_sent': 4724216, 'bytes_retrans': 72400, 'bytes_acked': 4628649, 'segs_out': 3267, 'segs_in': 894, 'data_segs_out': 3263, 'lastrcv': 2200, 'delivered': 3199, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404372.62475, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 17.173, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 11, 'bytes_sent': 6321360, 'bytes_retrans': 89776, 'bytes_acked': 6208417, 'segs_out': 4371, 'segs_in': 1304, 'data_segs_out': 4366, 'lastrcv': 3408, 'delivered': 4290, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404373.7438583, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 19.258, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 12, 'bytes_sent': 8730832, 'bytes_retrans': 101360, 'bytes_acked': 8612097, 'segs_out': 6035, 'segs_in': 1707, 'data_segs_out': 6030, 'lastrcv': 4532, 'delivered': 5950, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404374.825208, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.712, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 17, 'ssthresh': 13, 'bytes_sent': 10464088, 'bytes_retrans': 115840, 'bytes_acked': 10325081, 'segs_out': 7232, 'segs_in': 2128, 'data_segs_out': 7227, 'lastrcv': 5620, 'delivered': 7133, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404376.0257623, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 14.078, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 8, 'bytes_sent': 12000416, 'bytes_retrans': 134664, 'bytes_acked': 11848377, 'segs_out': 8293, 'segs_in': 2490, 'data_segs_out': 8288, 'lastrcv': 6780, 'delivered': 8189, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404377.1337354, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 15.158, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 12, 'bytes_sent': 13286240, 'bytes_retrans': 153488, 'bytes_acked': 13115377, 'segs_out': 9181, 'segs_in': 2850, 'data_segs_out': 9176, 'lastrcv': 7932, 'delivered': 9061, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404378.2207913, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 17.057, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 16, 'bytes_sent': 14813880, 'bytes_retrans': 167968, 'bytes_acked': 14619849, 'segs_out': 10237, 'segs_in': 3185, 'data_segs_out': 10231, 'lastrcv': 9020, 'delivered': 10100, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404379.3506777, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 216, 'rtt': 12.886, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 7, 'bytes_sent': 16277808, 'bytes_retrans': 189688, 'bytes_acked': 16073641, 'segs_out': 11249, 'segs_in': 3595, 'data_segs_out': 11242, 'lastrcv': 10144, 'delivered': 11104, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404380.4934907, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 220, 'rtt': 18.007, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 25, 'ssthresh': 11, 'bytes_sent': 17640376, 'bytes_retrans': 204168, 'bytes_acked': 17397113, 'segs_out': 12190, 'segs_in': 3910, 'data_segs_out': 12183, 'lastrcv': 11268, 'delivered': 12020, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745404381.6760464, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 244, 'rtt': 40.812, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 15, 'bytes_sent': 20183064, 'bytes_retrans': 224440, 'bytes_acked': 19936905, 'segs_out': 13947, 'segs_in': 4342, 'data_segs_out': 13939, 'lastrcv': 12464, 'delivered': 13775, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
