{'timestamp': 1745350089.284607, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 45.554, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 93, 'ssthresh': 93, 'bytes_sent': 5955624, 'bytes_retrans': 62264, 'bytes_acked': 5758697, 'segs_out': 4115, 'segs_in': 596, 'data_segs_out': 4113, 'lastrcv': 900, 'delivered': 3978, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350090.2879796, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.444, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 26, 'ssthresh': 26, 'bytes_sent': 7423896, 'bytes_retrans': 76744, 'bytes_acked': 7255929, 'segs_out': 5129, 'segs_in': 939, 'data_segs_out': 5127, 'lastrcv': 1904, 'delivered': 5049, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350091.292602, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.521, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 27, 'ssthresh': 18, 'bytes_sent': 8098664, 'bytes_retrans': 78192, 'bytes_acked': 7982825, 'segs_out': 5595, 'segs_in': 1091, 'data_segs_out': 5593, 'lastrcv': 2908, 'delivered': 5514, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350092.2974064, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.285, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 22, 'ssthresh': 14, 'bytes_sent': 8646008, 'bytes_retrans': 83984, 'bytes_acked': 8530169, 'segs_out': 5973, 'segs_in': 1206, 'data_segs_out': 5971, 'lastrcv': 3912, 'delivered': 5892, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350093.3019547, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.398, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 20, 'bytes_sent': 9381592, 'bytes_retrans': 86880, 'bytes_acked': 9261409, 'segs_out': 6481, 'segs_in': 1362, 'data_segs_out': 6479, 'lastrcv': 4916, 'delivered': 6397, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350094.3065684, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.973, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 9, 'bytes_sent': 9882600, 'bytes_retrans': 95568, 'bytes_acked': 9769657, 'segs_out': 6827, 'segs_in': 1465, 'data_segs_out': 6825, 'lastrcv': 5920, 'delivered': 6748, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350095.3124204, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.341, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 7, 'bytes_sent': 10182336, 'bytes_retrans': 99912, 'bytes_acked': 10065049, 'segs_out': 7034, 'segs_in': 1530, 'data_segs_out': 7032, 'lastrcv': 6928, 'delivered': 6952, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350096.318341, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.813, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 16, 'bytes_sent': 10716648, 'bytes_retrans': 102808, 'bytes_acked': 10576193, 'segs_out': 7403, 'segs_in': 1640, 'data_segs_out': 7401, 'lastrcv': 7932, 'delivered': 7315, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350097.3239825, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.271, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 11132224, 'bytes_retrans': 114392, 'bytes_acked': 11003353, 'segs_out': 7690, 'segs_in': 1738, 'data_segs_out': 7688, 'lastrcv': 8940, 'delivered': 7600, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350098.3286872, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.099, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 9, 'bytes_sent': 11570968, 'bytes_retrans': 114392, 'bytes_acked': 11427617, 'segs_out': 7993, 'segs_in': 1822, 'data_segs_out': 7991, 'lastrcv': 9944, 'delivered': 7893, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350099.3339894, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.98, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 11, 'bytes_sent': 12047360, 'bytes_retrans': 120184, 'bytes_acked': 11904009, 'segs_out': 8322, 'segs_in': 1928, 'data_segs_out': 8320, 'lastrcv': 10948, 'delivered': 8222, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350100.3385782, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.718, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 11, 'bytes_sent': 12473072, 'bytes_retrans': 125976, 'bytes_acked': 12328273, 'segs_out': 8616, 'segs_in': 2022, 'data_segs_out': 8614, 'lastrcv': 11952, 'delivered': 8515, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350101.3424149, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 49.381, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 7, 'bytes_sent': 12748192, 'bytes_retrans': 134664, 'bytes_acked': 12599049, 'segs_out': 8806, 'segs_in': 2088, 'data_segs_out': 8804, 'lastrcv': 12956, 'delivered': 8702, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350102.3450842, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.286, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 13095712, 'bytes_retrans': 140456, 'bytes_acked': 12942225, 'segs_out': 9046, 'segs_in': 2165, 'data_segs_out': 9044, 'lastrcv': 13960, 'delivered': 8939, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350103.3500774, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.268, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 13447576, 'bytes_retrans': 143352, 'bytes_acked': 13285401, 'segs_out': 9289, 'segs_in': 2260, 'data_segs_out': 9287, 'lastrcv': 14964, 'delivered': 9176, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350105.519406, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 248, 'rtt': 47.479, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 5, 'bytes_sent': 3100168, 'bytes_retrans': 23168, 'bytes_acked': 3062521, 'segs_out': 2143, 'segs_in': 910, 'data_segs_out': 2141, 'lastrcv': 1952, 'delivered': 2116, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350107.5476103, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 44.908, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 18, 'bytes_sent': 2896000, 'bytes_retrans': 34752, 'bytes_acked': 2809121, 'segs_out': 2002, 'segs_in': 870, 'data_segs_out': 2000, 'lastrcv': 1952, 'delivered': 1959, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350109.5832515, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 248, 'rtt': 47.093, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 10, 'bytes_sent': 796400, 'bytes_retrans': 10136, 'bytes_acked': 757305, 'segs_out': 552, 'segs_in': 218, 'data_segs_out': 550, 'lastrcv': 1956, 'delivered': 524, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350111.6225595, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.733, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 12, 'bytes_sent': 1595696, 'bytes_retrans': 40544, 'bytes_acked': 1533433, 'segs_out': 1104, 'segs_in': 447, 'data_segs_out': 1102, 'lastrcv': 1944, 'delivered': 1060, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350113.658132, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 53.804, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 33, 'ssthresh': 15, 'bytes_sent': 1287272, 'bytes_retrans': 2896, 'bytes_acked': 1236593, 'segs_out': 891, 'segs_in': 351, 'data_segs_out': 889, 'lastrcv': 1956, 'delivered': 855, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350115.6758492, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.178, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 14, 'bytes_sent': 1251072, 'bytes_retrans': 8688, 'bytes_acked': 1216321, 'segs_out': 866, 'segs_in': 296, 'data_segs_out': 864, 'lastrcv': 1948, 'delivered': 841, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350117.6950521, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 252, 'rtt': 48.316, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 13, 'bytes_sent': 1065728, 'bytes_retrans': 7240, 'bytes_acked': 1030977, 'segs_out': 738, 'segs_in': 260, 'data_segs_out': 736, 'lastrcv': 1960, 'delivered': 713, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350119.7174559, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.618, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 7, 'bytes_sent': 755856, 'bytes_retrans': 11584, 'bytes_acked': 732689, 'segs_out': 524, 'segs_in': 220, 'data_segs_out': 522, 'lastrcv': 1952, 'delivered': 507, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350121.7532582, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 248, 'rtt': 47.967, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 9, 'bytes_sent': 784816, 'bytes_retrans': 8688, 'bytes_acked': 754409, 'segs_out': 544, 'segs_in': 220, 'data_segs_out': 542, 'lastrcv': 1960, 'delivered': 522, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350123.7841897, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.618, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 7, 'bytes_sent': 556032, 'bytes_retrans': 11584, 'bytes_acked': 529969, 'segs_out': 386, 'segs_in': 161, 'data_segs_out': 384, 'lastrcv': 1956, 'delivered': 367, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745350125.8159401, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 248, 'rtt': 46.974, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 10, 'bytes_sent': 1135232, 'bytes_retrans': 8688, 'bytes_acked': 1106273, 'segs_out': 786, 'segs_in': 308, 'data_segs_out': 784, 'lastrcv': 1956, 'delivered': 765, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
