{'timestamp': 1745501005.6638484, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 684, 'rtt': 170.556, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 114, 'ssthresh': 0, 'bytes_sent': 315664, 'bytes_retrans': 0, 'bytes_acked': 150593, 'segs_out': 220, 'segs_in': 55, 'data_segs_out': 218, 'lastrcv': 672, 'delivered': 105, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501006.6848516, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 464, 'rtt': 165.128, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 85, 'ssthresh': 82, 'bytes_sent': 1501576, 'bytes_retrans': 14480, 'bytes_acked': 1365465, 'segs_out': 1039, 'segs_in': 355, 'data_segs_out': 1037, 'lastrcv': 1696, 'delivered': 944, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501007.6885533, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 384, 'rtt': 165.802, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 45, 'ssthresh': 44, 'bytes_sent': 2050368, 'bytes_retrans': 18824, 'bytes_acked': 1967833, 'segs_out': 1418, 'segs_in': 594, 'data_segs_out': 1416, 'lastrcv': 2700, 'delivered': 1360, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501008.6947925, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 372, 'rtt': 166.022, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 23, 'bytes_sent': 2337072, 'bytes_retrans': 24616, 'bytes_acked': 2277705, 'segs_out': 1616, 'segs_in': 729, 'data_segs_out': 1614, 'lastrcv': 3704, 'delivered': 1574, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501009.700125, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 166.72, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 28, 'ssthresh': 23, 'bytes_sent': 2568752, 'bytes_retrans': 24616, 'bytes_acked': 2503593, 'segs_out': 1776, 'segs_in': 811, 'data_segs_out': 1774, 'lastrcv': 4712, 'delivered': 1730, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501010.7032049, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 165.3, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 19, 'bytes_sent': 2784504, 'bytes_retrans': 27512, 'bytes_acked': 2729481, 'segs_out': 1925, 'segs_in': 893, 'data_segs_out': 1923, 'lastrcv': 5712, 'delivered': 1886, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501011.707447, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 165.252, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 15, 'bytes_sent': 2932200, 'bytes_retrans': 30408, 'bytes_acked': 2875729, 'segs_out': 2027, 'segs_in': 939, 'data_segs_out': 2025, 'lastrcv': 6716, 'delivered': 1987, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501012.7115574, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 166.022, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 12, 'bytes_sent': 3065416, 'bytes_retrans': 33304, 'bytes_acked': 3011841, 'segs_out': 2119, 'segs_in': 982, 'data_segs_out': 2117, 'lastrcv': 7720, 'delivered': 2081, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501013.715868, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 372, 'rtt': 169.644, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 12, 'bytes_sent': 3211664, 'bytes_retrans': 33304, 'bytes_acked': 3152297, 'segs_out': 2220, 'segs_in': 1015, 'data_segs_out': 2218, 'lastrcv': 8728, 'delivered': 2178, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501014.720905, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 166.176, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 12, 'bytes_sent': 3365152, 'bytes_retrans': 33304, 'bytes_acked': 3305785, 'segs_out': 2326, 'segs_in': 1055, 'data_segs_out': 2324, 'lastrcv': 9732, 'delivered': 2284, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501015.724022, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 166.288, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 12, 'bytes_sent': 3531672, 'bytes_retrans': 33304, 'bytes_acked': 3469409, 'segs_out': 2441, 'segs_in': 1095, 'data_segs_out': 2439, 'lastrcv': 10736, 'delivered': 2397, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745501016.7296112, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 368, 'rtt': 165.722, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 11, 'bytes_sent': 3669232, 'bytes_retrans': 41992, 'bytes_acked': 3612761, 'segs_out': 2536, 'segs_in': 1132, 'data_segs_out': 2534, 'lastrcv': 11740, 'delivered': 2496, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
