{'timestamp': 1745351210.0875, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 260, 'rtt': 57.499, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 48, 'ssthresh': 44, 'bytes_sent': 1046904, 'bytes_retrans': 10136, 'bytes_acked': 968713, 'segs_out': 725, 'segs_in': 402, 'data_segs_out': 723, 'lastrcv': 908, 'delivered': 670, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351211.0921497, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 45.602, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 19, 'ssthresh': 18, 'bytes_sent': 2072088, 'bytes_retrans': 21720, 'bytes_acked': 2022857, 'segs_out': 1433, 'segs_in': 765, 'data_segs_out': 1431, 'lastrcv': 1912, 'delivered': 1398, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351212.096091, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.219, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 20, 'ssthresh': 17, 'bytes_sent': 2709208, 'bytes_retrans': 24616, 'bytes_acked': 2657081, 'segs_out': 1873, 'segs_in': 975, 'data_segs_out': 1871, 'lastrcv': 2916, 'delivered': 1836, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351213.1003833, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.242, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 16, 'ssthresh': 15, 'bytes_sent': 3239176, 'bytes_retrans': 30408, 'bytes_acked': 3185601, 'segs_out': 2239, 'segs_in': 1152, 'data_segs_out': 2237, 'lastrcv': 3920, 'delivered': 2201, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351214.1052947, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.178, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 18, 'bytes_sent': 3867608, 'bytes_retrans': 33304, 'bytes_acked': 3808241, 'segs_out': 2673, 'segs_in': 1361, 'data_segs_out': 2671, 'lastrcv': 4924, 'delivered': 2631, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351215.1104505, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.646, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 23, 'ssthresh': 14, 'bytes_sent': 4417848, 'bytes_retrans': 36200, 'bytes_acked': 4349793, 'segs_out': 3053, 'segs_in': 1540, 'data_segs_out': 3051, 'lastrcv': 5928, 'delivered': 3005, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351216.1136985, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 48.149, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 17, 'ssthresh': 16, 'bytes_sent': 5066552, 'bytes_retrans': 44888, 'bytes_acked': 4997049, 'segs_out': 3501, 'segs_in': 1758, 'data_segs_out': 3499, 'lastrcv': 6932, 'delivered': 3452, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351217.1176102, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 45.336, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 16, 'bytes_sent': 5637064, 'bytes_retrans': 47784, 'bytes_acked': 5563217, 'segs_out': 3895, 'segs_in': 1943, 'data_segs_out': 3893, 'lastrcv': 7936, 'delivered': 3843, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351218.1206014, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 47.032, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 29, 'ssthresh': 16, 'bytes_sent': 6381336, 'bytes_retrans': 47784, 'bytes_acked': 6291561, 'segs_out': 4409, 'segs_in': 2187, 'data_segs_out': 4407, 'lastrcv': 8940, 'delivered': 4346, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351219.1246853, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 45.634, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 30, 'ssthresh': 25, 'bytes_sent': 7322536, 'bytes_retrans': 50680, 'bytes_acked': 7229865, 'segs_out': 5059, 'segs_in': 2499, 'data_segs_out': 5057, 'lastrcv': 9944, 'delivered': 4994, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745351220.1306887, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 248, 'rtt': 46.382, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 13, 'bytes_sent': 8092872, 'bytes_retrans': 59368, 'bytes_acked': 7988617, 'segs_out': 5591, 'segs_in': 2759, 'data_segs_out': 5589, 'lastrcv': 10948, 'delivered': 5536, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
