wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
9.9;788;169.281;1448;1500;536;1448;51;37;236024;2896;94121;165;58;163;672;111;14480;42242;0.012269938650306749;reno;1745494915.288076
9.9;500;165.011;1448;1500;536;1448;10;10;448880;7240;427161;312;167;310;1684;296;14480;42242;0.016129032258064516;reno;1745494916.3001664
9.9;392;165.176;1448;1500;536;1448;9;5;512592;8688;490873;356;198;354;2688;340;14480;42242;0.01694915254237288;reno;1745494917.3054318
9.9;372;165.751;1448;1500;536;1448;15;5;621192;8688;590785;431;237;429;3692;409;14480;42242;0.013986013986013986;reno;1745494918.3103976
9.9;368;165.084;1448;1500;536;1448;6;4;722552;14480;692145;501;281;499;4696;484;14480;42242;0.02004008016032064;reno;1745494919.3148353
9.9;368;165.873;1448;1500;536;1448;9;4;779024;14480;751513;540;302;538;5700;520;14480;42242;0.01858736059479554;reno;1745494920.3184922
9.9;368;165.592;1448;1500;536;1448;15;4;884728;14480;849977;613;340;611;6704;588;14480;42242;0.016366612111292964;reno;1745494921.3231428
9.9;368;165.34;1448;1500;536;1448;6;4;933960;18824;906449;647;368;645;7712;627;14480;42242;0.020155038759689922;reno;1745494922.3293054
9.9;368;165.36;1448;1500;536;1448;12;4;1016496;18824;980297;704;401;702;8716;678;14480;42242;0.018518518518518517;reno;1745494923.3358445
9.9;368;165.796;1448;1500;536;1448;7;7;1113512;21720;1083105;771;445;769;9724;749;14480;42242;0.01950585175552666;reno;1745494924.3420198
9.9;376;172.341;1448;1500;536;1448;8;3;1161296;23168;1126545;804;461;802;10728;779;14480;42242;0.0199501246882793;reno;1745494925.3454447
9.9;368;165.636;1448;1500;536;1448;13;3;1251072;23168;1209081;866;481;864;11732;836;14480;42242;0.018518518518518517;reno;1745494926.3489668
9.9;372;169.122;1448;1500;536;1448;19;3;1390080;23168;1339401;962;514;960;12736;926;14480;42242;0.016666666666666666;reno;1745494927.354067
9.9;368;165.729;1448;1500;536;1448;12;11;1533432;28960;1487097;1061;551;1059;13744;1028;14480;42242;0.018885741265344664;reno;1745494928.3608575
9.9;368;166.412;1448;1500;536;1448;9;6;1604384;31856;1559497;1110;571;1108;14748;1078;14480;42242;0.019855595667870037;reno;1745494929.3660583
9.9;368;167.16;1448;1500;536;1448;8;5;1668096;34752;1621761;1154;589;1152;15752;1121;14480;42242;0.020833333333333332;reno;1745494930.3704743
9.9;368;166.892;1448;1500;536;1448;14;5;1768008;34752;1712985;1223;603;1221;16756;1184;14480;42242;0.019656019656019656;reno;1745494931.3741968
9.9;368;167.028;1448;1500;536;1448;16;9;1914256;37648;1849097;1324;641;1322;17764;1281;14480;42242;0.019667170953101363;reno;1745494932.381698
9.9;368;167.428;1448;1500;536;1448;14;9;2014168;37648;1956249;1393;662;1391;18772;1352;14480;42242;0.018691588785046728;reno;1745494933.3891463
9.9;368;167.555;1448;1500;536;1448;19;9;2158968;37648;2095257;1493;692;1491;19776;1448;14480;42242;0.017437961099932932;reno;1745494934.395112
9.9;368;166.903;1448;1500;536;1448;12;12;2322592;40544;2264673;1606;721;1604;20784;1565;14480;42242;0.017456359102244388;reno;1745494935.401072
9.9;372;170.033;1448;1500;536;1448;9;7;2410920;41992;2355897;1667;745;1665;21788;1628;14480;42242;0.017417417417417418;reno;1745494936.4069753
9.9;368;166.003;1448;1500;536;1448;15;7;2519520;41992;2457257;1742;770;1740;22792;1698;14480;42242;0.016666666666666666;reno;1745494937.4106944
9.9;376;175.179;1448;1500;536;1448;11;7;2591920;44888;2531105;1792;787;1790;23800;1749;14480;42242;0.017318435754189943;reno;1745494938.416734
9.9;368;167.947;1448;1500;536;1448;7;7;2699072;47784;2622329;1866;809;1864;24804;1825;14480;42242;0.017703862660944206;reno;1745494939.4225292
9.9;372;170.753;1448;1500;536;1448;12;7;2780160;47784;2716449;1922;832;1920;25808;1877;14480;42242;0.0171875;reno;1745494940.4275334
9.9;368;167.895;1448;1500;536;1448;8;8;2884416;50680;2822153;1994;855;1992;26816;1950;14480;42242;0.017570281124497992;reno;1745494941.4334016
9.9;368;166.634;1448;1500;536;1448;6;6;2962608;53576;2900345;2048;876;2046;27824;2004;14480;42242;0.018084066471163247;reno;1745494942.4427578
9.9;372;168.625;1448;1500;536;1448;11;6;3037904;53576;2969849;2100;894;2098;28832;2052;14480;42242;0.01763584366062917;reno;1745494943.4480712
9.9;368;167.585;1448;1500;536;1448;8;6;3108856;56472;3040801;2149;910;2147;29836;2101;14480;42242;0.018164881229622728;reno;1745494944.453799
9.9;372;170.96;1448;1500;536;1448;15;6;3226144;56472;3149401;2230;928;2228;30888;2176;14480;42242;0.017504488330341114;reno;1745494945.507097
9.9;216;15.936;1448;1500;536;1448;12;10;4081912;79640;3984897;2821;1202;2819;31892;2753;14480;42242;0.019510464703795673;reno;1745494946.5110464
9.9;216;15.264;1448;1500;536;1448;14;12;5542944;99912;5422761;3830;1665;3828;32896;3746;14480;42242;0.018025078369905956;reno;1745494947.514483
9.9;216;15.366;1448;1500;536;1448;19;13;6950400;118736;6804153;4802;2120;4800;33900;4700;14480;42242;0.017083333333333332;reno;1745494948.5184693
9.9;220;18.423;1448;1500;536;1448;10;3;7950968;136112;7800377;5493;2443;5491;34904;5388;14480;42242;0.017118921872154434;reno;1745494949.5219712
9.9;216;15.586;1448;1500;536;1448;19;4;8738680;157832;8554785;6037;2686;6035;35908;5909;14480;42242;0.018061309030654515;reno;1745494950.5253973
9.9;216;15.461;1448;1500;536;1448;8;6;9500328;179552;9310641;6563;2932;6561;36912;6431;14480;42242;0.0188995579942082;reno;1745494951.528498
9.9;220;16.096;1448;1500;536;1448;7;7;10515376;199824;10306865;7264;3258;7262;37916;7119;14480;42242;0.019003029468465986;reno;1745494952.5336025
9.9;216;15.279;1448;1500;536;1448;11;12;11513048;220096;11255305;7953;3580;7951;38920;7789;14480;42242;0.019117092189661677;reno;1745494953.5373
9.9;220;16.59;1448;1500;536;1448;17;4;12403568;237472;12142929;8568;3862;8566;39924;8387;14480;42242;0.01914545879056736;reno;1745494954.540842
9.9;220;17.167;1448;1500;536;1448;9;6;13631472;256296;13362145;9416;4258;9414;40928;9229;14480;42242;0.01880178457616316;reno;1745494955.5476103
9.9;220;16.217;1448;1500;536;1448;10;7;14578464;273672;14290313;10070;4564;10068;41936;9870;14480;42242;0.018772348033373062;reno;1745494956.5513432
9.9;220;17.09;1448;1500;536;1448;16;7;15495048;291048;15180833;10703;4856;10701;42940;10485;14480;42242;0.018783291281188674;reno;1745494957.557134
9.9;220;16.572;1448;1500;536;1448;17;13;16821416;306976;16462313;11619;5277;11617;43944;11389;14480;42242;0.018249117672376688;reno;1745494958.5601192
9.9;220;16.457;1448;1500;536;1448;6;6;17675736;333040;17334009;12209;5555;12207;44948;11972;14480;42242;0.01884164823461948;reno;1745494959.5642004
9.9;220;16.418;1448;1500;536;1448;8;7;18519920;353312;18155025;12792;5816;12790;45952;12539;14480;42242;0.019077404222048476;reno;1745494960.569526
9.9;216;15.337;1448;1500;536;1448;9;8;19517592;370688;19133873;13481;6134;13479;46956;13215;14480;42242;0.018992506862526893;reno;1745494961.5737996
9.9;220;19.885;1448;1500;536;1448;8;6;20781696;390960;20379153;14354;6534;14352;47960;14075;14480;42242;0.018812709030100336;reno;1745494962.5794365
9.9;224;18.14;1448;1500;536;1448;6;3;21388408;408336;20972833;14773;6732;14771;48964;14486;14480;42242;0.019091463001827905;reno;1745494963.5833778
9.9;220;17.881;1448;1500;536;1448;9;8;22512056;419920;22079105;15549;7092;15547;49972;15250;14480;42242;0.018653116356853412;reno;1745494964.5893846
9.9;216;15.981;1448;1500;536;1448;13;9;23097048;437296;22642377;15953;7282;15951;50976;15640;14480;42242;0.018932982258165632;reno;1745494965.5933235
9.9;216;15.657;1448;1500;536;1448;6;6;23906480;456120;23441673;16512;7545;16510;51980;16192;14480;42242;0.019079345850999394;reno;1745494966.597679
9.9;220;17.415;1448;1500;536;1448;5;4;24553736;482184;24057073;16959;7746;16957;52984;16621;14480;42242;0.019637907648758626;reno;1745494967.601667
