wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;4850028;0;14480;42340;0.0;reno;2
9.0;248;45.001;1448;1500;536;1448;14;9;642913;9;612505;455;312;453;920;431;14480;42242;1.3998783661241878e-05;reno;4
9.0;248;45.001;1448;1500;536;1448;14;9;642913;9;612505;455;312;453;924;431;14480;42242;1.3998783661241878e-05;reno;4
9.0;248;45.139;1448;1500;536;1448;22;5;1044009;11;1013601;734;462;732;1936;701;14480;42242;1.0536307637194699e-05;reno;6
9.0;248;45.183;1448;1500;536;1448;22;5;1049801;11;1019393;738;464;736;1940;705;14480;42242;1.0478176340087311e-05;reno;6
9.0;248;46.39;1448;1500;536;1448;29;12;1701401;13;1659409;1190;679;1188;2952;1147;14480;42242;7.640761936780336e-06;reno;8
9.0;248;46.647;1448;1500;536;1448;30;12;1704297;13;1662305;1192;680;1190;2952;1149;14480;42242;7.627778491659611e-06;reno;8
9.0;248;46.827;1448;1500;536;1448;14;5;2080777;19;2060505;1458;816;1456;3964;1424;14480;42242;9.131204352989293e-06;reno;10
9.0;248;46.827;1448;1500;536;1448;14;5;2080777;19;2060505;1458;816;1456;3964;1424;14480;42242;9.131204352989293e-06;reno;10
9.0;248;45.795;1448;1500;536;1448;35;5;2854009;19;2803329;1992;1061;1990;4972;1937;14480;42242;6.657302061766448e-06;reno;12
9.0;248;45.735;1448;1500;536;1448;35;5;2859801;19;2809121;1996;1063;1994;4976;1941;14480;42242;6.643818923064927e-06;reno;12
9.0;248;45.456;1448;1500;536;1448;22;11;3605521;24;3573665;2516;1324;2514;5984;2469;14480;42242;6.656458248336371e-06;reno;14
9.0;248;45.456;1448;1500;536;1448;22;11;3605521;24;3573665;2516;1324;2514;5988;2469;14480;42242;6.656458248336371e-06;reno;14
9.0;248;46.803;1448;1500;536;1448;8;6;4021097;32;4009513;2811;1475;2809;6996;2770;14480;42242;7.958027374122037e-06;reno;16
9.0;248;46.803;1448;1500;536;1448;8;6;4021097;32;4009513;2811;1475;2809;7000;2770;14480;42242;7.958027374122037e-06;reno;16
9.0;248;45.48;1448;1500;536;1448;15;11;4491697;34;4469977;3138;1628;3136;8008;3088;14480;42242;7.569522165008014e-06;reno;18
9.0;248;45.48;1448;1500;536;1448;15;11;4491697;34;4469977;3138;1628;3136;8012;3088;14480;42242;7.569522165008014e-06;reno;18
9.0;248;45.868;1448;1500;536;1448;22;11;5036145;36;5004289;3516;1807;3514;9016;3457;14480;42242;7.148324760307735e-06;reno;20
9.0;248;45.868;1448;1500;536;1448;22;11;5036145;36;5004289;3516;1807;3514;9020;3457;14480;42242;7.148324760307735e-06;reno;20
9.0;248;46.084;1448;1500;536;1448;11;11;5823857;41;5778969;4065;2081;4063;10028;4012;14480;42242;7.040008022174995e-06;reno;22
9.0;248;46.163;1448;1500;536;1448;11;11;5826753;41;5778969;4067;2082;4065;10032;4014;14480;42242;7.036509012824124e-06;reno;22
9.0;248;45.998;1448;1500;536;1448;23;7;6256809;43;6223505;4366;2218;4364;11040;4299;14480;42242;6.872512809644661e-06;reno;24
9.0;248;45.998;1448;1500;536;1448;23;7;6256809;43;6223505;4366;2218;4364;11044;4299;14480;42242;6.872512809644661e-06;reno;24
9.0;248;45.314;1448;1500;536;1448;16;8;6869313;46;6846145;4792;2436;4790;12052;4729;14480;42242;6.6964483930197965e-06;reno;26
9.0;248;45.353;1448;1500;536;1448;16;8;6872209;46;6849041;4794;2437;4792;12056;4731;14480;42242;6.693626459847191e-06;reno;26
9.0;248;45.359;1448;1500;536;1448;24;12;7461545;48;7426793;5203;2630;5201;13064;5130;14480;42242;6.432984053570675e-06;reno;28
9.0;248;45.359;1448;1500;536;1448;24;12;7461545;48;7426793;5203;2630;5201;13068;5130;14480;42242;6.432984053570675e-06;reno;28
9.0;248;46.822;1448;1500;536;1448;19;9;7929249;52;7901737;5530;2791;5528;14076;5458;14480;42242;6.557998115584464e-06;reno;30
9.0;248;46.7;1448;1500;536;1448;19;9;7933593;52;7907529;5533;2793;5531;14080;5462;14480;42242;6.554407315827772e-06;reno;30
9.0;248;46.019;1448;1500;536;1448;27;11;8528721;54;8489625;5946;2987;5944;15088;5864;14480;42242;6.331547250754246e-06;reno;32
9.0;248;46.149;1448;1500;536;1448;27;11;8531617;54;8492521;5948;2988;5946;15092;5866;14480;42242;6.329398049631155e-06;reno;32
9.0;248;45.509;1448;1500;536;1448;15;14;9177425;60;9155705;6400;3213;6398;16100;6324;14480;42242;6.537781567269686e-06;reno;34
9.0;248;45.437;1448;1500;536;1448;16;14;9180321;60;9158601;6402;3214;6400;16100;6326;14480;42242;6.535719175832741e-06;reno;34
9.0;248;47.439;1448;1500;536;1448;24;10;9716081;61;9681329;6773;3389;6771;17112;6687;14480;42242;6.278251488434483e-06;reno;36
9.0;248;46.911;1448;1500;536;1448;24;10;9721873;61;9687121;6777;3391;6775;17116;6691;14480;42242;6.2745110947242365e-06;reno;36
9.0;248;46.167;1448;1500;536;1448;9;8;10217089;67;10204057;7125;3570;7123;18124;7048;14480;42242;6.557640830964671e-06;reno;38
9.0;248;46.041;1448;1500;536;1448;9;8;10219985;67;10206953;7127;3571;7125;18128;7050;14480;42242;6.5557826161193e-06;reno;38
9.0;248;45.231;1448;1500;536;1448;18;11;10687689;69;10663073;7452;3725;7450;19132;7365;14480;42242;6.456026181151042e-06;reno;40
9.0;248;45.231;1448;1500;536;1448;18;11;10687689;69;10663073;7452;3725;7450;19136;7365;14480;42242;6.456026181151042e-06;reno;40
