wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
6.6;1000;0.0;524;1500;88;1460;10;42340;524;0;0;1;0;0;10513200;0;14480;42340;0.0;reno;2
9.0;264;56.491;1448;1500;536;1448;20;6;321457;7;292497;231;112;229;1128;0;14480;42242;2.177585182466084e-05;reno;4
9.0;260;53.727;1448;1500;536;1448;21;6;360553;7;330145;258;124;256;1212;0;14480;42242;1.9414621428749727e-05;reno;4
9.0;252;51.459;1448;1500;536;1448;46;6;1621761;7;1555153;1129;480;1127;2572;0;14480;42242;4.31629568105288e-06;reno;6
9.0;256;54.858;1448;1500;536;1448;48;6;1730361;7;1662305;1204;508;1202;2660;0;14480;42242;4.0453986191320774e-06;reno;6
9.0;256;54.325;1448;1500;536;1448;72;6;3857473;7;3754665;2674;1132;2671;3972;0;14480;42242;1.8146594934041015e-06;reno;8
9.0;256;53.695;1448;1500;536;1448;74;6;4032681;7;3925529;2795;1178;2792;4060;0;14480;42242;1.735817933528588e-06;reno;8
9.0;280;76.488;1448;1500;536;1448;95;6;6647769;7;6511657;4601;1810;4598;5380;0;14480;42242;1.0529848434865892e-06;reno;10
9.0;272;71.967;1448;1500;536;1448;97;6;7005425;7;6866417;4848;1898;4845;5560;0;14480;42242;9.99225600159876e-07;reno;10
9.0;284;80.017;1448;1500;536;1448;115;6;9679881;7;9514809;6695;2504;6692;6896;0;14480;42242;7.231493858240613e-07;reno;12
9.0;284;82.341;1448;1500;536;1448;118;6;10228673;7;10059257;7074;2624;7071;7176;0;14480;42242;6.843507461818361e-07;reno;12
9.0;288;85.278;1448;1500;536;1448;133;6;12949465;7;12756881;8954;3475;8950;8440;0;14480;42242;5.405628726746626e-07;reno;14
9.0;288;86.719;1448;1500;536;1448;133;6;13033449;7;12840865;9012;3499;9008;8480;0;14480;42242;5.370796325669437e-07;reno;14
