wscale;rto;rtt;mss;pmtu;rcvmss;advmss;cwnd;ssthresh;bytes_sent;bytes_retrans;bytes_acked;segs_out;segs_in;data_segs_out;lastrcv;delivered;rcv_space;rcv_ssthresh;loss_ratio;tcp_type;timestamp
9.0;312;74.743;1448;1500;536;1448;64;60;1314785;97;1223561;1007;438;1005;1240;0;14480;42242;7.37763208433318e-05;reno;2
9.0;296;93.984;1448;1500;536;1448;77;60;2822153;99;2710657;2051;940;2048;2508;0;14480;42242;3.5079600574455036e-05;reno;4
9.0;312;109.314;1448;1500;536;1448;90;60;4413505;99;4283185;3150;1443;3147;3844;0;14480;42242;2.2431151658375825e-05;reno;6
9.0;340;138.417;1448;1500;536;1448;101;60;5974449;99;5828201;4229;1940;4225;5200;0;14480;42242;1.6570565754264535e-05;reno;8
9.0;340;138.652;1448;1500;536;1448;110;60;7348601;99;7190769;5179;2376;5174;6372;0;14480;42242;1.3471952008280216e-05;reno;10
9.0;328;124.996;1448;1500;536;1448;60;60;9277337;102;9190457;6515;3006;6509;8164;0;14480;42242;1.0994534315181177e-05;reno;12
9.0;292;90.336;1448;1500;536;1448;75;60;10731129;102;10623977;7521;3468;7513;9396;0;14480;42242;9.505057669141802e-06;reno;14
9.0;316;113.68;1448;1500;536;1448;87;60;12190713;102;12066185;8529;3932;8521;10652;0;14480;42242;8.367024964003336e-06;reno;16
9.0;320;119.215;1448;1500;536;1448;98;60;13742969;102;13601065;9602;4430;9593;11980;0;14480;42242;7.421977012390845e-06;reno;18
9.0;340;136.01;1448;1500;536;1448;108;60;15183729;102;15028793;10598;4898;10588;13196;0;14480;42242;6.717717367057855e-06;reno;20
9.0;348;144.934;1448;1500;536;1448;119;60;16969113;102;16796801;11832;5470;11821;14712;0;14480;42242;6.010921136537897e-06;reno;22
9.0;288;85.374;1448;1500;536;1448;71;60;18327337;106;18224529;12774;5925;12763;15968;0;14480;42242;5.783709875580942e-06;reno;24
9.0;300;98.263;1448;1500;536;1448;83;60;19636329;106;19517593;13680;6354;13667;17056;0;14480;42242;5.3981576698984825e-06;reno;26
9.0;316;113.717;1448;1500;536;1448;96;60;21339177;106;21200169;14857;6907;14843;18480;0;14480;42242;4.967389323402678e-06;reno;28
9.0;336;132.065;1448;1500;536;1448;106;60;22826273;106;22672785;15886;7377;15870;19764;0;14480;42242;4.643771674859054e-06;reno;30
9.0;344;140.192;1448;1500;536;1448;114;60;24210561;106;24046937;16843;7825;16826;20936;0;14480;42242;4.37825459723961e-06;reno;32
9.0;276;74.345;1448;1500;536;1448;62;60;25562993;108;25474665;17781;8296;17762;22152;0;14480;42242;4.224857394437341e-06;reno;34
9.0;296;92.614;1448;1500;536;1448;76;60;27008097;108;26899497;18780;8749;18760;23396;0;14480;42242;3.99880080406998e-06;reno;36
9.0;312;108.703;1448;1500;536;1448;88;60;28438721;108;28312745;19769;9217;19748;24592;0;14480;42242;3.7976391413664488e-06;reno;38
9.0;324;121.539;1448;1500;536;1448;100;60;30015593;108;29872241;20858;9716;20837;25952;0;14480;42242;3.598129812061351e-06;reno;40
9.0;344;142.012;1448;1500;536;1448;110;60;31569297;108;31410017;21932;10220;21910;27272;0;14480;42242;3.421045454385633e-06;reno;42
9.0;344;141.86;1448;1500;536;1448;118;60;32879737;108;32710321;22838;10647;22815;28372;0;14480;42242;3.284697806433184e-06;reno;44
9.0;284;80.351;1448;1500;536;1448;68;60;34132257;114;34033793;23710;11094;23686;29504;0;14480;42242;3.3399490692924292e-06;reno;46
9.0;300;97.923;1448;1500;536;1448;82;60;35678721;114;35559985;24779;11583;24754;30816;0;14480;42242;3.195181800378999e-06;reno;48
9.0;324;120.679;1448;1500;536;1448;95;60;37372881;114;37235321;25950;12109;25924;32280;0;14480;42242;3.0503401651052804e-06;reno;50
9.0;332;130.233;1448;1500;536;1448;105;60;38917897;114;38767305;27019;12597;26991;33604;0;14480;42242;2.929243581686852e-06;reno;52
9.0;340;139.904;1448;1500;536;1448;115;60;40441193;114;40274673;28072;13087;28043;34932;0;14480;42242;2.818907938744537e-06;reno;54
9.0;284;83.73;1448;1500;536;1448;68;59;42019513;116;41921049;29165;13591;29135;36432;0;14480;42242;2.7606221899811168e-06;reno;56
9.0;308;105.585;1448;1500;536;1448;83;59;43609417;116;43490681;30264;14085;30233;37816;0;14480;42242;2.659975940517618e-06;reno;58
9.0;324;121.791;1448;1500;536;1448;94;59;45093617;116;44957505;31290;14564;31258;39112;0;14480;42242;2.572426159560454e-06;reno;60
9.0;328;125.809;1448;1500;536;1448;105;59;46598089;116;46447497;32330;15052;32297;40412;0;14480;42242;2.4893724719054465e-06;reno;62
9.0;344;140.784;1448;1500;536;1448;115;59;48318313;116;48151793;33519;15601;33485;41888;0;14480;42242;2.4007460690939274e-06;reno;64
9.0;276;73.409;1448;1500;536;1448;63;61;49728665;120;49637441;34497;16107;34463;43144;0;14480;42242;2.413095143414769e-06;reno;66
9.0;296;93.184;1448;1500;536;1448;77;61;51159289;120;51049241;35486;16573;35451;44348;0;14480;42242;2.3456150846818845e-06;reno;68
9.0;316;113.519;1448;1500;536;1448;94;61;53271921;120;53137257;36945;17255;36910;46132;0;14480;42242;2.2525938195470744e-06;reno;70
9.0;336;132.928;1448;1500;536;1448;105;61;54974769;120;54822729;38121;17811;38086;47584;0;14480;42242;2.1828195403604153e-06;reno;72
9.0;348;145.439;1448;1500;536;1448;117;61;56819521;120;56650105;39395;18388;39360;49172;0;14480;42242;2.1119502221780433e-06;reno;74
9.0;280;78.716;1448;1500;536;1448;66;60;58309513;125;58213945;40429;18900;40394;50508;0;14480;42242;2.1437325329745078e-06;reno;76
9.0;300;96.946;1448;1500;536;1448;80;60;59769097;125;59653257;41438;19368;41402;51728;0;14480;42242;2.0913817720886767e-06;reno;78
9.0;332;128.55;1448;1500;536;1448;92;60;61330041;125;61196825;42518;19849;42480;53128;0;14480;42242;2.038152884978505e-06;reno;80
9.0;340;136.88;1448;1500;536;1448;103;60;62927185;125;62778041;43622;20362;43583;54488;0;14480;42242;1.9864228790784143e-06;reno;82
9.0;340;138.034;1448;1500;536;1448;114;60;64630033;125;64466409;44798;20874;44759;55964;0;14480;42242;1.9340853500724656e-06;reno;84
9.0;288;84.689;1448;1500;536;1448;61;60;66080929;127;65992601;45802;21344;45763;57288;0;14480;42242;1.9218858136815844e-06;reno;86
9.0;292;89.744;1448;1500;536;1448;75;60;67485489;127;67378337;46774;21762;46733;58520;0;14480;42242;1.8818860451615013e-06;reno;88
9.0;308;106.338;1448;1500;536;1448;88;60;69046433;127;68919009;47852;22259;47811;59832;0;14480;42242;1.8393419396480627e-06;reno;90
9.0;328;126.685;1448;1500;536;1448;99;60;70520497;127;70378593;48872;22733;48829;61080;0;14480;42242;1.800894851889657e-06;reno;92
9.0;336;133.274;1448;1500;536;1448;108;60;71948225;127;71791841;49859;23195;49815;62316;0;14480;42242;1.7651582092539462e-06;reno;94
9.0;340;138.374;1448;1500;536;1448;116;60;73203641;127;73035673;50727;23608;50682;63368;0;14480;42242;1.7348863835884884e-06;reno;96
9.0;288;86.697;1448;1500;536;1448;67;59;74634265;129;74537249;51718;24112;51672;64652;0;14480;42242;1.728428624573445e-06;reno;98
9.0;300;99.82;1448;1500;536;1448;82;59;76273401;129;76154665;52850;24639;52804;66032;0;14480;42242;1.6912842263320604e-06;reno;100
9.0;320;119.708;1448;1500;536;1448;93;59;77702577;129;77569361;53838;25105;53791;67248;0;14480;42242;1.6601765987761255e-06;reno;102
9.0;328;127.306;1448;1500;536;1448;103;59;79115825;129;78968129;54815;25570;54767;68428;0;14480;42242;1.6305208218456927e-06;cubic;104
9.0;340;136.438;1448;1500;536;1448;112;59;80537761;129;80377033;55799;26030;55749;69624;0;14480;42242;1.6017331298792874e-06;cubic;106
9.0;352;151.65;1448;1500;536;1448;60;60;81898881;131;81812001;56741;26505;56691;70852;0;14480;42242;1.59953345394304e-06;cubic;108
9.0;300;96.318;1448;1500;536;1448;74;60;83368601;131;83262897;57758;26972;57706;72096;0;14480;42242;1.5713349921752915e-06;cubic;110
9.0;312;111.58;1448;1500;536;1448;87;60;84877417;131;84752889;58801;27442;58748;73380;0;14480;42242;1.5434022927441347e-06;cubic;112
